prompt_id,tier,family,hd_cadence,hd95_cadence,hd_gpt4o,hd95_gpt4o,hd_gpt52,hd95_gpt52
bearing_block__SCS6UU,Complex,bearing_block,0.418119,0.346029,0.451189,0.386729,0.451058,0.376283
bearing_block__SCS8LUU,Complex,bearing_block,0.445501,0.397665,0.451225,0.403849,0.433769,0.389157
bearing_block__SCS8UU,Complex,bearing_block,0.446859,0.364010,0.446445,0.375009,0.422795,0.359814
bldc_motor__BLDC0603,Complex,bldc_motor,0.356027,0.224724,0.312972,0.179768,0.453649,0.225946
bldc_motor__BLDC0802,Complex,bldc_motor,0.357738,0.259869,0.415401,0.301854,0.505520,0.242286
bldc_motor__BLDC1105,Complex,bldc_motor,0.445323,0.327085,0.337299,0.294893,0.332521,0.253139
bldc_motor__BLDC1306,Complex,bldc_motor,0.390228,0.231484,0.475287,0.149723,0.273150,0.257122
bldc_motor__BLDC1804,Complex,bldc_motor,0.302692,0.240128,0.435486,0.097138,0.296570,0.255505
bldc_motor__BLDC2205,Complex,bldc_motor,0.351691,0.220309,0.508098,0.190673,0.291769,0.223012
bldc_motor__BLDC2212,Complex,bldc_motor,0.344069,0.237182,0.197213,0.079173,0.357517,0.223335
bldc_motor__BLDC3548,Complex,bldc_motor,0.368857,0.245863,0.433006,0.232140,0.296641,0.209833
bldc_motor__BLDC4250,Complex,bldc_motor,0.294637,0.261216,0.267826,0.074535,0.289389,0.224511
blower__BL30x10,Complex,blower,0.598157,0.407701,0.508470,0.394245,0.479038,0.367088
blower__BL40x10,Complex,blower,0.493602,0.352345,0.491443,0.404220,0.473023,0.375409
blower__PE4020,Complex,blower,0.496840,0.362032,0.501829,0.377585,0.483836,0.368041
blower__RB5015,Complex,blower,0.482024,0.339235,0.482831,0.348394,0.468961,0.344729
box_section__AL12x8x1,Simple,box_section,0.012688,0.008179,0.495003,0.448095,0.250206,0.203113
box_section__AL20x20x2,Simple,box_section,0.020845,0.011809,0.400452,0.356777,0.020845,0.011809
box_section__AL38p1x25p4x1p6,Simple,box_section,0.250593,0.202802,0.492019,0.448413,0.022336,0.014940
box_section__AL50p8x38p1x3,Simple,box_section,0.250281,0.206908,0.598066,0.478579,0.029905,0.017788
component__Epcos,Simple,component,0.946314,0.826486,0.918232,0.801231,0.560117,0.440333
component__EpcosBlue,Simple,component,0.628794,0.523247,0.552254,0.418250,0.554103,0.458071
component__Honewell,Simple,component,0.487089,0.359997,0.338584,0.237825,0.476184,0.349094
component__RIE1212UB5C5R6,Simple,component,0.470177,0.369089,0.500004,0.340989,0.452463,0.376763
component__RWM04106R80J,Simple,component,0.466715,0.399056,0.263898,0.125544,0.660293,0.394432
component__TC,Medium,component,0.558384,0.493581,0.266120,0.231545,0.537192,0.472609
component__THS10,Medium,component,0.660606,0.553400,0.380513,0.304801,0.501141,0.439678
component__THS15,Medium,component,0.502757,0.405937,0.331763,0.304190,0.489781,0.398174
component__THS25,Medium,component,0.582072,0.572551,0.406859,0.394551,0.508453,0.418131
component__THS50,Medium,component,0.520570,0.512924,0.452876,0.418252,0.365417,0.281687
d_connector__DCONN15,Complex,d_connector,0.665396,0.463294,0.293971,0.267652,0.231400,0.160518
d_connector__DCONN25,Complex,d_connector,,,0.386096,0.353720,0.250055,0.216772
d_connector__DCONN9,Complex,d_connector,0.433551,0.285983,0.323741,0.311560,0.295605,0.216529
display__BigTreeTech_TFT35v3_0,Medium,display,0.203075,0.118505,0.195977,0.107668,0.201347,0.129451
display__HDMI5,Medium,display,0.133075,0.037685,0.147476,0.041928,0.147330,0.041909
display__LCD1602A,Medium,display,0.183285,0.106753,0.100492,0.065588,0.194511,0.101167
display__LCD1602AI2C,Medium,display,0.165186,0.109450,0.100249,0.069760,0.185561,0.123058
display__LCD2004A,Medium,display,0.157773,0.117720,0.164424,0.105116,0.191464,0.125274
display__LCDS7282B,Medium,display,0.213853,0.111208,0.214827,0.124708,0.219582,0.117061
display__SSD1963_4p3,Medium,display,0.113095,0.041004,0.271795,0.236028,0.112665,0.041011
display__TFT128x160,Medium,display,0.201917,0.073163,0.191861,0.075696,0.204673,0.073810
extrusion__E1515,Simple,extrusion,0.037966,0.023262,0.064119,0.047723,0.110712,0.094888
extrusion__E2020,Simple,extrusion,0.023530,0.014377,0.097439,0.050986,0.061585,0.047303
extrusion__E2020t,Simple,extrusion,0.402222,0.390740,0.095840,0.051400,0.055544,0.044944
extrusion__E2040,Simple,extrusion,0.051286,0.040335,0.080352,0.059649,0.108351,0.100626
extrusion__E2060,Simple,extrusion,0.058478,0.027828,0.081248,0.060429,0.205177,0.200435
extrusion__E2080,Simple,extrusion,0.058398,0.035903,0.057291,0.031292,0.304224,0.300234
extrusion__E3030,Simple,extrusion,0.029494,0.020567,0.089420,0.058946,0.218483,0.186424
extrusion__E3060,Simple,extrusion,0.066818,0.044392,0.125418,0.091235,0.159635,0.150242
extrusion__E4040,Simple,extrusion,0.054208,0.025884,0.197029,0.099413,0.592919,0.482757
extrusion__E4040t,Simple,extrusion,0.046803,0.030344,0.143864,0.100704,0.441806,0.278211
extrusion__E4080,Simple,extrusion,0.094658,0.066247,0.160499,0.096231,0.213338,0.200650
extrusion__Makerbeam,Simple,extrusion,0.042029,0.035384,0.037108,0.026010,0.333702,0.308892
extrusion__MakerbeamXL,Simple,extrusion,0.023585,0.014916,0.066416,0.045879,0.110548,0.093859
extrusion_bracket__E20_corner_bracket,Medium,extrusion_bracket,0.378990,0.187765,0.334153,0.333368,0.524275,0.396246
extrusion_bracket__E20_inner_corner_bracket,Medium,extrusion_bracket,0.780018,0.671579,0.781110,0.673105,0.781124,0.673657
extrusion_bracket__E40_corner_bracket,Medium,extrusion_bracket,0.530273,0.454039,0.473799,0.340960,0.569932,0.480022
extrusion_bracket__E40_inner_corner_bracket,Medium,extrusion_bracket,0.631380,0.487550,0.711515,0.597368,0.711594,0.597884
gear_motor__FIT0492_A,Medium,gear_motor,0.292808,0.225654,0.665683,0.594233,0.577734,0.506243
hot_end__E3D_clone,Simple,hot_end,0.472636,0.444870,0.444426,0.400665,0.315523,0.215913
hot_end__E3Dv5,Simple,hot_end,0.298483,0.231081,0.410349,0.377322,0.486238,0.438560
hot_end__E3Dv6,Simple,hot_end,0.329871,0.227335,0.462060,0.389836,0.305384,0.237495
hot_end__JHeadMk5,Simple,hot_end,0.291573,0.239291,0.260913,0.203392,0.428180,0.374596
ht_pipe__HT_110_cap,Simple,ht_pipe,0.587866,0.496453,0.689442,0.627342,0.585580,0.527459
ht_pipe__HT_110_pipe_1000,Simple,ht_pipe,0.047292,0.006167,0.066444,0.008757,0.363552,0.310199
ht_pipe__HT_110_pipe_150,Simple,ht_pipe,0.320950,0.240703,0.321403,0.240671,0.493211,0.433127
ht_pipe__HT_110_pipe_1500,Simple,ht_pipe,0.353262,0.306269,0.045291,0.005455,0.353761,0.306251
ht_pipe__HT_110_pipe_2000,Simple,ht_pipe,0.022661,0.004153,0.034560,0.004428,0.348861,0.304222
ht_pipe__HT_110_pipe_250,Simple,ht_pipe,0.319940,0.271937,0.220951,0.139737,0.439517,0.377093
ht_pipe__HT_110_pipe_500,Simple,ht_pipe,0.125151,0.053047,0.124334,0.051995,0.391086,0.328763
ht_pipe__HT_125_cap,Simple,ht_pipe,0.399357,0.330726,0.614294,0.556878,0.515951,0.459770
ht_pipe__HT_125_pipe_1000,Simple,ht_pipe,0.057257,0.006660,0.067158,0.007466,0.363585,0.309832
ht_pipe__HT_125_pipe_150,Simple,ht_pipe,0.379438,0.319374,0.321915,0.242445,0.493439,0.434500
ht_pipe__HT_125_pipe_1500,Simple,ht_pipe,0.046976,0.005366,0.045358,0.005932,0.353966,0.305497
ht_pipe__HT_125_pipe_2000,Simple,ht_pipe,0.010175,0.004372,0.034410,0.004776,0.348974,0.304680
ht_pipe__HT_125_pipe_250,Simple,ht_pipe,0.224322,0.139804,0.221313,0.147375,0.439549,0.378731
ht_pipe__HT_125_pipe_500,Simple,ht_pipe,0.067389,0.009894,0.124399,0.057706,0.391236,0.327215
ht_pipe__HT_160_cap,Simple,ht_pipe,0.473810,0.294661,0.432259,0.386985,0.443110,0.273953
ht_pipe__HT_160_pipe_1000,Simple,ht_pipe,0.012867,0.007467,0.070811,0.017137,0.363661,0.310001
ht_pipe__HT_160_pipe_150,Simple,ht_pipe,0.321707,0.242238,0.346008,0.258989,0.493710,0.434189
ht_pipe__HT_160_pipe_1500,Simple,ht_pipe,0.047245,0.006015,0.047414,0.006956,0.353866,0.306437
ht_pipe__HT_160_pipe_2000,Simple,ht_pipe,0.329610,0.294855,0.037320,0.005506,0.348859,0.305370
ht_pipe__HT_160_pipe_250,Simple,ht_pipe,0.061140,0.017274,0.223139,0.134645,0.439797,0.377214
ht_pipe__HT_160_pipe_500,Simple,ht_pipe,0.017259,0.011071,0.134380,0.069157,0.391041,0.327850
ht_pipe__HT_32_cap,Simple,ht_pipe,0.187297,0.125703,0.867821,0.812470,0.686546,0.638346
ht_pipe__HT_32_pipe_1000,Simple,ht_pipe,0.006436,0.003342,0.039853,0.003655,0.351343,0.308598
ht_pipe__HT_32_pipe_150,Simple,ht_pipe,0.216612,0.143743,0.216538,0.143438,0.436969,0.383257
ht_pipe__HT_32_pipe_1500,Simple,ht_pipe,0.978524,0.884038,0.026979,0.002738,0.345378,0.305342
ht_pipe__HT_32_pipe_2000,Simple,ht_pipe,0.342491,0.302358,0.020431,0.002304,0.342479,0.302320
ht_pipe__HT_32_pipe_250,Simple,ht_pipe,0.142206,0.071937,0.142868,0.071995,0.399585,0.350466
ht_pipe__HT_32_pipe_500,Simple,ht_pipe,0.076787,0.006145,0.076747,0.009092,0.368183,0.314876
ht_pipe__HT_40_cap,Simple,ht_pipe,0.468831,0.416304,0.755910,0.690892,0.647600,0.593654
ht_pipe__HT_40_pipe_1000,Simple,ht_pipe,0.958328,0.895142,0.045856,0.004081,0.353910,0.309336
ht_pipe__HT_40_pipe_150,Simple,ht_pipe,0.390447,0.335512,0.241978,0.164871,0.450359,0.393154
ht_pipe__HT_40_pipe_1500,Simple,ht_pipe,0.972785,0.881013,0.030972,0.003078,0.347244,0.306000
ht_pipe__HT_40_pipe_2000,Simple,ht_pipe,0.980624,0.880045,0.023488,0.002584,0.343804,0.304043
ht_pipe__HT_40_pipe_250,Simple,ht_pipe,0.056353,0.009494,0.160694,0.087836,0.408816,0.357538
ht_pipe__HT_40_pipe_500,Simple,ht_pipe,0.927556,0.847495,0.087570,0.015072,0.373558,0.316343
ht_pipe__HT_50_40_tpipe,Simple,ht_pipe,0.351359,0.296866,0.514216,0.456542,0.380025,0.327448
ht_pipe__HT_50_cap,Simple,ht_pipe,0.397861,0.318007,0.777687,0.711857,0.492876,0.436677
ht_pipe__HT_50_pipe_1000,Simple,ht_pipe,0.013299,0.004038,0.053062,0.004617,0.357400,0.309209
ht_pipe__HT_50_pipe_150,Simple,ht_pipe,0.463419,0.407861,0.271368,0.196635,0.465878,0.410315
ht_pipe__HT_50_pipe_1500,Simple,ht_pipe,0.008596,0.003223,0.035947,0.003481,0.349560,0.305517
ht_pipe__HT_50_pipe_2000,Simple,ht_pipe,0.345533,0.304869,0.027235,0.002884,0.345557,0.304333
ht_pipe__HT_50_pipe_250,Simple,ht_pipe,0.183670,0.104668,0.182669,0.104390,0.419863,0.364353
ht_pipe__HT_50_pipe_500,Simple,ht_pipe,0.022013,0.006315,0.100656,0.023737,0.379503,0.320557
ht_pipe__HT_50_tpipe,Simple,ht_pipe,0.431251,0.350031,0.723604,0.659089,0.709642,0.631366
ht_pipe__HT_75_cap,Simple,ht_pipe,0.686375,0.625576,0.809558,0.738646,0.646510,0.587528
ht_pipe__HT_75_pipe_1000,Simple,ht_pipe,0.931659,0.857527,0.066263,0.006448,0.363596,0.309595
ht_pipe__HT_75_pipe_150,Simple,ht_pipe,0.212743,0.137469,0.321023,0.246071,0.493196,0.437175
ht_pipe__HT_75_pipe_1500,Simple,ht_pipe,0.023669,0.004074,0.045397,0.004385,0.354046,0.306873
ht_pipe__HT_75_pipe_2000,Simple,ht_pipe,0.961654,0.865635,0.034395,0.003645,0.348852,0.304759
ht_pipe__HT_75_pipe_250,Simple,ht_pipe,0.436949,0.380091,0.221545,0.141747,0.439458,0.382405
ht_pipe__HT_75_pipe_500,Simple,ht_pipe,0.873066,0.814183,0.124320,0.042583,0.391022,0.329345
ht_pipe__HT_90_cap,Simple,ht_pipe,0.446398,0.410896,0.732724,0.664707,0.521274,0.465094
ht_pipe__HT_90_pipe_1000,Simple,ht_pipe,0.916299,0.870971,0.062072,0.010976,0.363478,0.310883
ht_pipe__HT_90_pipe_150,Simple,ht_pipe,0.378626,0.321150,0.509453,0.392307,0.639337,0.525467
ht_pipe__HT_90_pipe_1500,Simple,ht_pipe,0.941170,0.872601,0.700177,0.584658,0.353841,0.306866
ht_pipe__HT_90_pipe_2000,Simple,ht_pipe,0.035621,0.004030,0.084455,0.026674,0.348923,0.306120
ht_pipe__HT_90_pipe_250,Simple,ht_pipe,0.719158,0.643573,0.221131,0.136942,0.557823,0.464800
ht_pipe__HT_90_pipe_500,Simple,ht_pipe,0.126055,0.039100,0.391565,0.330199,0.391120,0.330138
iec__IEC_320_C14_switched_fused_inlet,Complex,iec,0.377194,0.213863,0.441217,0.319871,0.265922,0.220942
iec__IEC_fused_inlet,Complex,iec,0.561593,0.391805,0.323402,0.136128,0.380225,0.245575
iec__IEC_fused_inlet2,Complex,iec,0.389393,0.263608,0.543342,0.255305,0.449643,0.340538
iec__IEC_inlet_atx,Complex,iec,0.399111,0.252358,0.373992,0.290827,0.469643,0.286671
iec__IEC_inlet_atx2,Complex,iec,0.530100,0.509096,0.514337,0.430294,0.544489,0.261243
iec__IEC_outlet,Complex,iec,0.555458,0.422978,0.633228,0.451025,0.240248,0.103545
iec__IEC_yunpen,Complex,iec,0.290408,0.207975,0.713924,0.577028,0.678452,0.528198
insert__CNCKM2p5,Simple,insert,0.368187,0.328431,0.534793,0.515151,0.365233,0.318419
insert__CNCKM3,Simple,insert,0.435857,0.348098,0.609116,0.571046,0.426176,0.337553
insert__CNCKM4,Simple,insert,0.444441,0.372815,,,0.428378,0.340264
insert__CNCKM5,Simple,insert,0.380945,0.267877,0.550639,0.508443,0.362350,0.305039
insert__F1BM2,Simple,insert,0.379065,0.335434,0.526127,0.492956,0.379633,0.335399
insert__F1BM2p5,Simple,insert,0.432583,0.376703,0.463734,0.407535,0.435526,0.378485
insert__F1BM3,Simple,insert,0.432351,0.364788,0.557627,0.505228,0.438324,0.368330
insert__F1BM4,Simple,insert,0.483453,0.412063,0.565511,0.517267,0.446199,0.383438
insert__M10x25,Simple,insert,0.460308,0.415820,0.511413,0.453658,0.497203,0.450207
insert__M12x30,Simple,insert,0.453070,0.407061,0.577121,0.542315,0.464093,0.419705
insert__M16x30,Simple,insert,0.427979,0.375000,0.446538,0.388691,0.412728,0.362546
insert__M3x8,Simple,insert,0.454751,0.405081,0.571539,0.532612,0.433021,0.360877
insert__M4x10,Simple,insert,0.429013,0.367698,0.555875,0.508175,0.429052,0.367598
insert__M5x12,Simple,insert,0.412147,0.365282,0.545537,0.509598,0.414773,0.366175
insert__M6x15,Simple,insert,0.429448,0.388609,0.555785,0.524391,0.429481,0.388619
insert__M8x18,Simple,insert,0.385096,0.347878,0.529695,0.501298,0.386526,0.348334
leadnut__LNHT8x2,Medium,leadnut,0.523044,0.491768,0.520503,0.492547,0.549769,0.491993
leadnut__LSN8x2,Medium,leadnut,0.339810,0.254379,0.318300,0.253664,0.318332,0.253856
leadnut__LSN8x8,Medium,leadnut,0.342747,0.254042,0.342654,0.250665,0.345758,0.249637
leadnut__SFU1610,Medium,leadnut,0.405547,0.305204,0.255080,0.212820,0.236587,0.209775
led__LED10mm,Medium,led,0.095204,0.062412,0.238401,0.118096,0.579699,0.217001
led__LED3mm,Medium,led,0.038092,0.021056,0.518315,0.293936,0.421917,0.253914
led__LED5mm,Medium,led,0.584719,0.391358,0.568118,0.211704,0.415643,0.154705
led__LED5x2mm,Medium,led,0.243381,0.159180,0.401402,0.208717,0.338251,0.113548
led__LED8mm,Medium,led,0.279985,0.048674,0.510722,0.244791,0.289516,0.049674
led__LEDs,Medium,led,0.507494,0.383412,0.471224,0.316974,0.454646,0.408357
light_strip__RIGID5050,Medium,light_strip,0.333407,0.279711,0.080303,0.065993,0.334679,0.284071
linear_bearing__LM10LUU,Medium,linear_bearing,0.022393,0.013212,0.334263,0.325554,0.022831,0.013212
linear_bearing__LM10UU,Medium,linear_bearing,0.075147,0.034944,0.336152,0.331438,0.035157,0.019811
linear_bearing__LM12LUU,Medium,linear_bearing,0.025409,0.014112,0.347173,0.321881,0.024689,0.013774
linear_bearing__LM12UU,Medium,linear_bearing,0.066031,0.045264,0.336068,0.330723,0.043811,0.028585
linear_bearing__LM16LUU,Medium,linear_bearing,0.047343,0.020834,0.334407,0.326515,0.026396,0.014342
linear_bearing__LM16UU,Medium,linear_bearing,0.082731,0.043120,0.335931,0.332010,0.077216,0.042079
linear_bearing__LM16UUOP,Medium,linear_bearing,0.260096,0.137092,0.374127,0.333340,0.270659,0.133850
linear_bearing__LM3LUU,Medium,linear_bearing,0.024389,0.014743,0.359528,0.319789,0.024810,0.014705
linear_bearing__LM3UU,Medium,linear_bearing,0.513673,0.203366,0.338600,0.333345,0.045748,0.026843
linear_bearing__LM4LUU,Medium,linear_bearing,0.473952,0.373304,0.356316,0.318089,0.022918,0.013611
linear_bearing__LM4UU,Medium,linear_bearing,0.033984,0.022645,0.336582,0.332410,0.039077,0.022804
linear_bearing__LM5LUU,Medium,linear_bearing,0.437038,0.085897,0.353630,0.317466,0.021798,0.013659
linear_bearing__LM5UU,Medium,linear_bearing,0.037855,0.022549,0.336625,0.332527,0.036167,0.021505
linear_bearing__LM6LUU,Medium,linear_bearing,0.023416,0.013292,0.350278,0.315071,0.027136,0.013195
linear_bearing__LM6UU,Medium,linear_bearing,0.079899,0.041689,0.367439,0.322311,0.036877,0.019398
linear_bearing__LM8LUU,Medium,linear_bearing,0.039714,0.018762,0.334674,0.325578,0.027012,0.013010
linear_bearing__LM8UU,Medium,linear_bearing,0.071793,0.037850,0.336024,0.330840,0.033880,0.019218
magnet__MAG484,Simple,magnet,0.371437,0.353131,0.426848,0.373870,0.392460,0.359619
magnet__MAG5x8,Simple,magnet,0.333408,0.317290,0.521106,0.494910,0.322341,0.309611
magnet__MAG8x4x4p2,Simple,magnet,0.265386,0.181420,0.262714,0.181762,0.392884,0.267033
magnet__MAGRE6x2p5,Simple,magnet,0.204818,0.203492,0.379111,0.360547,0.363708,0.350189
mains_socket__Contactum,Medium,mains_socket,0.474408,0.293654,0.188663,0.142207,0.190541,0.188317
mains_socket__MKLOGIC,Medium,mains_socket,0.074516,0.049037,0.125883,0.093680,0.207843,0.169248
mains_socket__PMS9143A,Medium,mains_socket,0.229121,0.226773,0.211128,0.189059,0.395699,0.380957
nut__M2_nut,Medium,nut,0.172064,0.152494,0.069780,0.065966,0.160398,0.142201
nut__M2p5_nut,Medium,nut,0.179592,0.164888,0.046404,0.039251,0.181072,0.164878
nut__M3_hammer_nut,Medium,nut,0.359352,0.286403,0.339668,0.236233,0.211961,0.199052
nut__M3_nut,Medium,nut,0.190331,0.163201,0.189109,0.187628,0.178453,0.163010
nut__M3_sliding_t_nut,Medium,nut,0.363970,0.301259,0.352975,0.252941,0.229500,0.217023
nut__M3nS_thin_nut,Medium,nut,0.239111,0.236402,0.125370,0.097675,0.158836,0.142612
nut__M4_hammer_nut,Medium,nut,0.327558,0.234771,0.373326,0.272062,0.405539,0.333585
nut__M4_nut,Medium,nut,0.221230,0.193472,0.338884,0.237220,0.185614,0.171642
nut__M4_sliding_t_nut,Medium,nut,0.442081,0.336456,0.396483,0.308952,0.275851,0.271550
nut__M4_weld_nut,Medium,nut,0.441809,0.389268,0.688885,0.595903,0.337389,0.329585
nut__M4_wingnut,Medium,nut,0.267793,0.231521,0.250275,0.167034,0.315900,0.258031
nut__M4nS_thin_nut,Medium,nut,0.155868,0.137678,0.037994,0.032626,0.154935,0.137127
nut__M5_nut,Medium,nut,0.227699,0.207398,0.508867,0.434866,0.202300,0.188845
nut__M5_sliding_t_nut,Medium,nut,0.696709,0.614995,0.393098,0.308872,0.280027,0.262642
nut__M5nS_thin_nut,Medium,nut,0.166999,0.147115,0.121438,0.118225,0.168229,0.147015
nut__M6_half_nut,Medium,nut,0.163465,0.143538,0.131629,0.130601,0.132887,0.114985
nut__M6_nut,Medium,nut,0.235615,0.211094,0.639552,0.600022,0.200949,0.188862
nut__M6_sliding_t_nut,Medium,nut,0.442241,0.360340,0.388297,0.333517,0.424598,0.359292
nut__M6_weld_nut,Medium,nut,0.339118,0.330697,0.042424,0.023247,0.339118,0.331034
nut__M6nS_thin_nut,Medium,nut,0.157213,0.139978,0.344089,0.192591,0.156462,0.139525
nut__M8_nut,Medium,nut,0.206900,0.188212,0.030147,0.016376,0.204323,0.188101
nut__M8nS_thin_nut,Medium,nut,0.151812,0.134169,0.431923,0.307925,0.151731,0.134171
panel_meter__DSN_VC288,Complex,panel_meter,0.309801,0.162261,0.295726,0.228089,0.284639,0.186332
panel_meter__DSP5005,Complex,panel_meter,0.216232,0.148557,0.227426,0.177581,,
panel_meter__PZEM001,Complex,panel_meter,0.363126,0.285432,0.271310,0.232268,0.199650,0.163274
panel_meter__PZEM021,Complex,panel_meter,0.306239,0.172230,0.270156,0.222742,0.322697,0.287219
pcb__ArduinoLeonardo,Complex,pcb,0.177904,0.057638,0.170006,0.102577,0.170006,0.102577
pcb__ArduinoUno3,Complex,pcb,0.171145,0.098560,0.180688,0.109304,0.180688,0.109304
pcb__BTT_RELAY_V1_2,Complex,pcb,0.136900,0.088076,0.206534,0.176012,0.206534,0.176012
pcb__BTT_SKR_E3_TURBO,Complex,pcb,0.155807,0.070175,0.175407,0.082784,0.175157,0.082908
pcb__BTT_SKR_MINI_E3_V2_0,Complex,pcb,0.177216,0.064523,0.177504,0.084066,0.177504,0.084066
pcb__BTT_SKR_V1_4_TURBO,Complex,pcb,0.215527,0.088971,0.222132,0.116496,0.214870,0.109224
pcb__Duex2,Complex,pcb,0.104542,0.048776,0.180910,0.058542,0.180910,0.058542
pcb__Duex5,Complex,pcb,0.170933,0.050450,0.174220,0.052783,0.180715,0.059190
pcb__ESP_01,Complex,pcb,0.318678,0.111175,0.318678,0.111175,0.318678,0.111175
pcb__ESP_01M,Complex,pcb,0.135392,0.133493,0.135392,0.133493,0.135392,0.133493
pcb__EnviroPlus,Complex,pcb,0.073752,0.047157,0.066425,0.043059,0.078449,0.055307
pcb__Ethernet,Complex,pcb,0.228995,0.169941,0.381916,0.309459,0.381916,0.309459
pcb__ExtruderPCB,,,,,,,,
pcb__HW803_1WAY_RELAY,Complex,pcb,0.126901,0.074654,0.326579,0.245544,0.145727,0.056323
pcb__KY_040,Complex,pcb,0.800100,0.458380,0.800792,0.458924,0.774289,0.432342
pcb__Keyes5p1,Complex,pcb,0.155548,0.061700,0.111115,0.024673,0.122752,0.029635
pcb__L9110S,,,,,,,,
pcb__LIPO_fuel_gauge,,,,,,,,
pcb__MELLOW_FLY_D5,,,,,,,,
pcb__MP1584EN,,,,,,,,
pcb__MT3608,,,,,,,,
pcb__Melzi,Complex,pcb,0.077211,0.032433,0.012423,0.007334,0.012423,0.007334
pcb__OPZ2,,,,,,,,
pcb__PERF80x20,,,,,,,,
pcb__PI_IO,Complex,pcb,0.255545,0.161763,0.256404,0.163291,0.256404,0.163291
pcb__PSU12V1A,Complex,pcb,0.100441,0.031136,0.029931,0.015435,0.031135,0.015362
pcb__RAMPSEndstop,Complex,pcb,0.172798,0.121898,0.172928,0.149592,0.152984,0.129727
pcb__RPI0,Complex,pcb,0.061251,0.039146,0.060769,0.032153,0.060769,0.032153
