prompt_id,tier,family,nc_craft,nc_gpt4o,nc_gpt52
bldc_motor__BLDC1306,Complex,bldc_motor,0.666217,0.700329,0.537354
bldc_motor__BLDC1804,Complex,bldc_motor,0.601632,0.636650,0.699652
bldc_motor__BLDC2205,Complex,bldc_motor,0.575363,0.662608,0.596896
bldc_motor__BLDC2212,Complex,bldc_motor,0.485813,0.699174,0.592120
bldc_motor__BLDC3548,Complex,bldc_motor,0.553975,0.551517,0.571172
bldc_motor__BLDC4250,Complex,bldc_motor,0.518423,0.806321,0.516906
blower__BL30x10,Complex,blower,0.435389,0.435968,0.402075
blower__BL40x10,Complex,blower,0.427686,0.382962,0.480572
blower__PE4020,Complex,blower,0.405008,0.405735,0.422156
blower__RB5015,Complex,blower,0.393726,0.352334,0.389539
box_section__AL12x8x1,Simple,box_section,0.961345,0.490632,0.947114
box_section__AL20x20x2,Simple,box_section,0.961941,0.780505,0.961941
box_section__AL38p1x25p4x1p6,Simple,box_section,0.537575,0.502163,0.969189
box_section__AL50p8x38p1x3,Simple,box_section,0.537028,0.499197,0.969295
component__Epcos,Simple,component,0.564657,0.645797,0.704493
component__EpcosBlue,Simple,component,0.256391,0.605238,0.381828
component__Honewell,Simple,component,0.637453,0.825580,0.611494
component__RIE1212UB5C5R6,Simple,component,0.264772,0.623696,0.430667
component__RWM04106R80J,Simple,component,0.290741,0.924295,0.393242
component__TC,Medium,component,0.341359,0.829364,0.574278
component__THS10,Medium,component,0.422154,0.454970,0.382031
component__THS15,Medium,component,0.421750,0.441271,0.372776
component__THS25,Medium,component,0.389422,0.683785,0.376760
component__THS50,Medium,component,0.432644,0.388055,0.394950
d_connector__DCONN15,Complex,d_connector,0.413664,0.487680,0.283221
d_connector__DCONN25,Complex,d_connector,,0.569346,0.486344
d_connector__DCONN9,Complex,d_connector,0.358179,0.473692,0.594766
display__BigTreeTech_TFT35v3_0,Medium,display,0.813297,0.827915,0.694840
display__HDMI5,Medium,display,0.907764,0.917967,0.912424
display__LCD1602A,Medium,display,0.840456,0.681420,0.744410
display__LCD1602AI2C,Medium,display,0.662204,0.675246,0.694143
display__LCD2004A,Medium,display,0.715057,0.671343,0.855078
display__LCDS7282B,Medium,display,0.691873,0.715681,0.825323
display__SSD1963_4p3,Medium,display,0.907299,0.506967,0.914561
display__TFT128x160,Medium,display,0.870401,0.779341,0.775339
extrusion__E1515,Simple,extrusion,0.599273,0.622886,0.593655
extrusion__E2020,Simple,extrusion,0.819996,0.610828,0.805606
extrusion__E2020t,Simple,extrusion,0.144203,0.596647,0.884810
extrusion__E2040,Simple,extrusion,0.575583,0.634609,0.672678
extrusion__E2060,Simple,extrusion,0.662048,0.641929,0.333642
extrusion__E2080,Simple,extrusion,0.535583,0.701551,0.383442
extrusion__E3030,Simple,extrusion,0.719966,0.692326,0.560961
extrusion__E3060,Simple,extrusion,0.610176,0.672543,0.500775
extrusion__E4040,Simple,extrusion,0.689169,0.717375,0.853306
extrusion__E4040t,Simple,extrusion,0.703217,0.628471,0.621861
extrusion__E4080,Simple,extrusion,0.538608,0.461000,0.548608
extrusion__Makerbeam,Simple,extrusion,0.611347,0.660197,0.395522
extrusion__MakerbeamXL,Simple,extrusion,0.764599,0.776940,0.577971
extrusion_bracket__E20_corner_bracket,Medium,extrusion_bracket,0.771083,0.227911,0.350586
extrusion_bracket__E20_inner_corner_bracket,Medium,extrusion_bracket,0.374528,0.399486,0.400389
extrusion_bracket__E40_corner_bracket,Medium,extrusion_bracket,0.341063,0.410794,0.525277
extrusion_bracket__E40_inner_corner_bracket,Medium,extrusion_bracket,0.344227,0.358689,0.330393
gear_motor__FIT0492_A,Medium,gear_motor,0.402944,0.296961,0.409532
hot_end__E3D_clone,Simple,hot_end,0.400209,0.497152,0.481035
hot_end__E3Dv5,Simple,hot_end,0.483285,0.637692,0.259238
hot_end__E3Dv6,Simple,hot_end,0.420732,0.587740,0.541470
hot_end__JHeadMk5,Simple,hot_end,0.351541,0.655822,0.327697
ht_pipe__HT_110_cap,Simple,ht_pipe,0.190873,0.881187,0.595791
ht_pipe__HT_110_pipe_1000,Simple,ht_pipe,0.967476,0.953907,0.565189
ht_pipe__HT_110_pipe_150,Simple,ht_pipe,0.968516,0.752626,0.618123
ht_pipe__HT_110_pipe_1500,Simple,ht_pipe,0.631168,0.966828,0.637773
ht_pipe__HT_110_pipe_2000,Simple,ht_pipe,0.982218,0.974270,0.610846
ht_pipe__HT_110_pipe_250,Simple,ht_pipe,0.737583,0.832651,0.686011
ht_pipe__HT_110_pipe_500,Simple,ht_pipe,0.909490,0.906670,0.607360
ht_pipe__HT_125_cap,Simple,ht_pipe,0.508516,0.824119,0.637041
ht_pipe__HT_125_pipe_1000,Simple,ht_pipe,0.962721,0.992950,0.576041
ht_pipe__HT_125_pipe_150,Simple,ht_pipe,0.679342,0.972263,0.622986
ht_pipe__HT_125_pipe_1500,Simple,ht_pipe,0.994409,0.962344,0.652569
ht_pipe__HT_125_pipe_2000,Simple,ht_pipe,0.993870,0.970226,0.625607
ht_pipe__HT_125_pipe_250,Simple,ht_pipe,0.969265,0.808237,0.683656
ht_pipe__HT_125_pipe_500,Simple,ht_pipe,0.985523,0.894191,0.606697
ht_pipe__HT_160_cap,Simple,ht_pipe,0.681902,0.803928,0.533836
ht_pipe__HT_160_pipe_1000,Simple,ht_pipe,0.986670,0.931747,0.571630
ht_pipe__HT_160_pipe_150,Simple,ht_pipe,0.970458,0.671357,0.671050
ht_pipe__HT_160_pipe_1500,Simple,ht_pipe,0.968438,0.953535,0.653363
ht_pipe__HT_160_pipe_2000,Simple,ht_pipe,0.653177,0.964039,0.643964
ht_pipe__HT_160_pipe_250,Simple,ht_pipe,0.974142,0.981007,0.667993
ht_pipe__HT_160_pipe_500,Simple,ht_pipe,0.974364,0.867546,0.636025
ht_pipe__HT_32_cap,Simple,ht_pipe,0.686888,0.873527,0.467660
ht_pipe__HT_32_pipe_1000,Simple,ht_pipe,0.982217,0.982605,0.503628
ht_pipe__HT_32_pipe_150,Simple,ht_pipe,0.980631,0.914202,0.507046
ht_pipe__HT_32_pipe_1500,Simple,ht_pipe,0.071485,0.984130,0.516762
ht_pipe__HT_32_pipe_2000,Simple,ht_pipe,0.502902,0.985469,0.501963
ht_pipe__HT_32_pipe_250,Simple,ht_pipe,0.942974,0.990321,0.526642
ht_pipe__HT_32_pipe_500,Simple,ht_pipe,0.988112,0.970529,0.510112
ht_pipe__HT_40_cap,Simple,ht_pipe,0.323237,0.676274,0.539037
ht_pipe__HT_40_pipe_1000,Simple,ht_pipe,0.085176,0.980439,0.515696
ht_pipe__HT_40_pipe_150,Simple,ht_pipe,0.561703,0.889034,0.545386
ht_pipe__HT_40_pipe_1500,Simple,ht_pipe,0.084800,0.983799,0.513822
ht_pipe__HT_40_pipe_2000,Simple,ht_pipe,0.110964,0.985114,0.509778
ht_pipe__HT_40_pipe_250,Simple,ht_pipe,0.943873,0.930635,0.530309
ht_pipe__HT_40_pipe_500,Simple,ht_pipe,0.194909,0.963033,0.538504
ht_pipe__HT_50_40_tpipe,Simple,ht_pipe,0.447123,0.448866,0.535575
ht_pipe__HT_50_cap,Simple,ht_pipe,0.434579,0.918652,0.614065
ht_pipe__HT_50_pipe_1000,Simple,ht_pipe,0.990688,0.975940,0.516368
ht_pipe__HT_50_pipe_150,Simple,ht_pipe,0.545537,0.870033,0.536183
ht_pipe__HT_50_pipe_1500,Simple,ht_pipe,0.989174,0.982218,0.503906
ht_pipe__HT_50_pipe_2000,Simple,ht_pipe,0.510521,0.984712,0.511495
ht_pipe__HT_50_pipe_250,Simple,ht_pipe,0.990135,0.913847,0.534307
ht_pipe__HT_50_pipe_500,Simple,ht_pipe,0.981808,0.954790,0.511655
ht_pipe__HT_50_tpipe,Simple,ht_pipe,0.519832,0.450087,0.480624
ht_pipe__HT_75_cap,Simple,ht_pipe,0.536806,0.528623,0.366542
ht_pipe__HT_75_pipe_1000,Simple,ht_pipe,0.136583,0.966644,0.543820
ht_pipe__HT_75_pipe_150,Simple,ht_pipe,0.966548,0.809372,0.586068
ht_pipe__HT_75_pipe_1500,Simple,ht_pipe,0.979559,0.977728,0.564030
ht_pipe__HT_75_pipe_2000,Simple,ht_pipe,0.130906,0.981433,0.526473
ht_pipe__HT_75_pipe_250,Simple,ht_pipe,0.612066,0.876364,0.608959
ht_pipe__HT_75_pipe_500,Simple,ht_pipe,0.277040,0.937404,0.576848
ht_pipe__HT_90_cap,Simple,ht_pipe,0.180986,0.605727,0.490926
ht_pipe__HT_90_pipe_1000,Simple,ht_pipe,0.133262,0.958655,0.542893
ht_pipe__HT_90_pipe_150,Simple,ht_pipe,0.671362,0.735650,0.543705
ht_pipe__HT_90_pipe_1500,Simple,ht_pipe,0.109691,0.393104,0.600418
ht_pipe__HT_90_pipe_2000,Simple,ht_pipe,0.982212,0.959025,0.585934
ht_pipe__HT_90_pipe_250,Simple,ht_pipe,0.334061,0.807096,0.460362
ht_pipe__HT_90_pipe_500,Simple,ht_pipe,0.981044,0.550664,0.568520
iec__IEC_320_C14_switched_fused_inlet,Complex,iec,0.389749,0.245481,0.409890
iec__IEC_fused_inlet,Complex,iec,0.391812,0.514748,0.404972
iec__IEC_fused_inlet2,Complex,iec,0.500523,0.478384,0.170796
iec__IEC_inlet_atx,Complex,iec,0.509147,0.426966,0.592849
iec__IEC_inlet_atx2,Complex,iec,0.302777,0.302186,0.639318
iec__IEC_outlet,Complex,iec,0.356786,0.297124,0.700269
iec__IEC_yunpen,Complex,iec,0.583474,0.377336,0.290359
insert__CNCKM2p5,Simple,insert,0.541162,0.156757,0.397026
insert__CNCKM3,Simple,insert,0.502222,0.181271,0.554959
insert__CNCKM4,Simple,insert,0.496370,,0.500571
insert__CNCKM5,Simple,insert,0.541176,0.096751,0.521520
insert__F1BM2,Simple,insert,0.578947,0.325917,0.481946
insert__F1BM2p5,Simple,insert,0.552666,0.562946,0.577890
insert__F1BM3,Simple,insert,0.576639,0.374647,0.616640
insert__F1BM4,Simple,insert,0.594232,0.382953,0.572875
insert__M10x25,Simple,insert,0.545009,0.639090,0.560049
insert__M12x30,Simple,insert,0.517631,0.366018,0.502478
insert__M16x30,Simple,insert,0.476128,0.611039,0.524919
insert__M3x8,Simple,insert,0.484263,0.370260,0.418595
insert__M4x10,Simple,insert,0.405787,0.357484,0.458799
insert__M5x12,Simple,insert,0.428394,0.336215,0.508521
insert__M6x15,Simple,insert,0.423936,0.330691,0.545516
insert__M8x18,Simple,insert,0.519538,0.298351,0.592550
leadnut__LNHT8x2,Medium,leadnut,0.277423,0.285930,0.276575
leadnut__LSN8x2,Medium,leadnut,0.613477,0.567450,0.598595
leadnut__LSN8x8,Medium,leadnut,0.469740,0.493833,0.566651
leadnut__SFU1610,Medium,leadnut,0.404186,0.519303,0.566687
led__LED10mm,Medium,led,0.797664,0.885411,0.405182
led__LED3mm,Medium,led,0.891686,0.916167,0.713805
led__LED5mm,Medium,led,0.620310,0.797888,0.361984
led__LED5x2mm,Medium,led,0.674269,0.587880,0.542896
led__LED8mm,Medium,led,0.756554,0.710675,0.874409
led__LEDs,Medium,led,0.459800,0.292426,0.319126
light_strip__RIGID5050,Medium,light_strip,0.255312,0.755200,0.312967
linear_bearing__LM10LUU,Medium,linear_bearing,0.947521,0.517557,0.963742
linear_bearing__LM10UU,Medium,linear_bearing,0.795584,0.508581,0.941955
linear_bearing__LM12LUU,Medium,linear_bearing,0.937980,0.498037,0.963340
linear_bearing__LM12UU,Medium,linear_bearing,0.840048,0.505771,0.884344
linear_bearing__LM16LUU,Medium,linear_bearing,0.861690,0.519492,0.965183
linear_bearing__LM16UU,Medium,linear_bearing,0.796635,0.490441,0.776922
linear_bearing__LM16UUOP,Medium,linear_bearing,0.740997,0.468649,0.754342
linear_bearing__LM3LUU,Medium,linear_bearing,0.968563,0.499989,0.966473
linear_bearing__LM3UU,Medium,linear_bearing,0.834804,0.526401,0.955033
linear_bearing__LM4LUU,Medium,linear_bearing,0.862263,0.520272,0.972595
linear_bearing__LM4UU,Medium,linear_bearing,0.959018,0.503610,0.956190
linear_bearing__LM5LUU,Medium,linear_bearing,0.861855,0.514765,0.961282
linear_bearing__LM5UU,Medium,linear_bearing,0.930559,0.498564,0.929506
linear_bearing__LM6LUU,Medium,linear_bearing,0.951265,0.501694,0.961286
linear_bearing__LM6UU,Medium,linear_bearing,0.750740,0.494054,0.944355
linear_bearing__LM8LUU,Medium,linear_bearing,0.865666,0.528722,0.964803
linear_bearing__LM8UU,Medium,linear_bearing,0.813448,0.518081,0.944428
magnet__MAG484,Simple,magnet,0.527458,0.788039,0.365639
magnet__MAG5x8,Simple,magnet,0.604803,0.616077,0.577721
magnet__MAG8x4x4p2,Simple,magnet,0.880591,0.881953,0.568111
magnet__MAGRE6x2p5,Simple,magnet,0.720735,0.627821,0.310873
mains_socket__Contactum,Medium,mains_socket,0.505349,0.688581,0.478454
mains_socket__MKLOGIC,Medium,mains_socket,0.584868,0.591547,0.434234
mains_socket__PMS9143A,Medium,mains_socket,0.470882,0.537055,0.536866
nut__M2_nut,Medium,nut,0.595656,0.856190,0.577618
nut__M2p5_nut,Medium,nut,0.581230,0.932795,0.583348
nut__M3_hammer_nut,Medium,nut,0.480048,0.555010,0.565796
nut__M3_nut,Medium,nut,0.581569,0.711188,0.591617
nut__M3_sliding_t_nut,Medium,nut,0.477566,0.563261,0.572738
nut__M3nS_thin_nut,Medium,nut,0.586560,0.810927,0.562020
nut__M4_hammer_nut,Medium,nut,0.547916,0.546948,0.517661
nut__M4_nut,Medium,nut,0.588184,0.764020,0.556963
nut__M4_sliding_t_nut,Medium,nut,0.553577,0.545230,0.562752
nut__M4_weld_nut,Medium,nut,0.554330,0.493381,0.559939
nut__M4_wingnut,Medium,nut,0.490485,0.814445,0.463434
nut__M4nS_thin_nut,Medium,nut,0.599671,0.929447,0.558470
nut__M5_nut,Medium,nut,0.549737,0.680553,0.575615
nut__M5_sliding_t_nut,Medium,nut,0.390684,0.555661,0.613176
nut__M5nS_thin_nut,Medium,nut,0.574529,0.806392,0.566177
nut__M6_half_nut,Medium,nut,0.563141,0.685298,0.545534
nut__M6_nut,Medium,nut,0.593836,0.596170,0.566680
nut__M6_sliding_t_nut,Medium,nut,0.516137,0.554084,0.552923
nut__M6_weld_nut,Medium,nut,0.564030,0.977687,0.572645
nut__M6nS_thin_nut,Medium,nut,0.555444,0.743312,0.562891
nut__M8_nut,Medium,nut,0.594916,0.973954,0.595346
nut__M8nS_thin_nut,Medium,nut,0.580104,0.678882,0.566790
panel_meter__DSN_VC288,Complex,panel_meter,0.506129,0.543724,0.598494
panel_meter__DSP5005,Complex,panel_meter,0.452635,0.609204,
panel_meter__PZEM001,Complex,panel_meter,0.411550,0.381019,0.565175
panel_meter__PZEM021,Complex,panel_meter,0.532970,0.453194,0.506846
pcb__ArduinoLeonardo,Complex,pcb,0.795983,0.912085,0.912085
pcb__ArduinoUno3,Complex,pcb,0.792393,0.897059,0.897059
pcb__BTT_RELAY_V1_2,Complex,pcb,0.596739,0.917407,0.917407
pcb__BTT_SKR_E3_TURBO,Complex,pcb,0.699957,0.924722,0.916551
pcb__BTT_SKR_MINI_E3_V2_0,Complex,pcb,0.699460,0.918825,0.918825
pcb__BTT_SKR_V1_4_TURBO,Complex,pcb,0.708486,0.901294,0.881326
pcb__Duex2,Complex,pcb,0.796354,0.939939,0.939939
pcb__Duex5,Complex,pcb,0.786076,0.928287,0.934194
pcb__ESP_01,Complex,pcb,0.805883,0.805883,0.805883
pcb__ESP_01M,Complex,pcb,0.889080,0.889080,0.889080
pcb__EnviroPlus,Complex,pcb,0.708320,0.803246,0.871275
pcb__Ethernet,Complex,pcb,0.562711,0.843442,0.843442
pcb__ExtruderPCB,,,,,
pcb__HW803_1WAY_RELAY,Complex,pcb,0.662454,0.879693,0.838245
pcb__KY_040,Complex,pcb,0.821584,0.837000,0.840841
pcb__Keyes5p1,Complex,pcb,0.671626,0.890673,0.932768
pcb__L9110S,,,,,
pcb__LIPO_fuel_gauge,,,,,
pcb__MELLOW_FLY_D5,,,,,
pcb__MP1584EN,,,,,
pcb__MT3608,,,,,
pcb__Melzi,Complex,pcb,0.660290,0.955344,0.955344
pcb__OPZ2,,,,,
pcb__PERF80x20,,,,,
pcb__PI_IO,Complex,pcb,0.834890,0.829116,0.829116
pcb__PSU12V1A,Complex,pcb,0.786604,0.907900,0.902722
pcb__RAMPSEndstop,Complex,pcb,0.717882,0.841144,0.933637
pcb__RPI0,Complex,pcb,0.758217,0.871566,0.871566
pcb__RPI3,Complex,pcb,0.685156,0.915077,0.915077
pcb__RPI3A,Complex,pcb,0.615338,0.905655,0.905655
pcb__RPI4,Complex,pcb,0.645966,0.910399,0.910399
pcb__RPI_Pico,Complex,pcb,0.710375,0.812252,0.812252
pcb__TMC2130,Complex,pcb,0.561398,0.650558,0.564507
pcb__TP4056,Complex,pcb,0.857491,0.893377,0.795610
pcb__WD2002SJ,Complex,pcb,0.690819,0.871700,0.872119
pcb__XIAO,Complex,pcb,0.831029,0.830145,0.830145
pcb__ZC_A0591,Complex,pcb,0.844367,0.843572,0.589235
photo_interrupter__PH1,Simple,photo_interrupter,0.366619,0.368691,0.352300
pillar__M2x16_brass_pillar,Medium,pillar,0.516176,0.969145,0.493597
pillar__M3x10_nylon_hex_pillar,Medium,pillar,0.477744,0.787315,0.714377
pillar__M3x13_hex_pillar,Medium,pillar,0.903360,0.801067,0.823522
pillar__M3x20_hex_pillar,Medium,pillar,0.833517,0.846250,0.835789
pillar__M3x20_nylon_hex_pillar,Medium,pillar,0.468807,0.898986,0.651804
pillar__M3x20_nylon_pillar,Medium,pillar,0.563340,0.935092,0.732107
pillar__M3x6_hex_pillar,Medium,pillar,0.580804,0.708927,0.681262
pillar__M4x17_nylon_pillar,Medium,pillar,0.667597,0.932201,0.754454
pillow_block__KP000,Medium,pillow_block,0.342210,0.339178,0.421013
pillow_block__KP001,Medium,pillow_block,0.401241,0.315083,0.426915
pillow_block__KP08_15,Medium,pillow_block,,0.232149,0.433773
pillow_block__KP08_18,Medium,pillow_block,0.439035,0.322607,0.437026
potentiometer__BTT_encoder,Complex,potentiometer,0.450020,0.415731,0.345854
potentiometer__KY_040_encoder,Complex,potentiometer,0.327447,0.670704,0.836576
pulley__GT2x12_pulley,Complex,pulley,0.520243,0.400501,0.289804
pulley__GT2x16_plain_idler,Complex,pulley,0.472626,0.317024,0.589495
pulley__GT2x16_pulley,Complex,pulley,0.517052,0.388565,0.604480
pulley__GT2x16_pulley_9,Complex,pulley,0.543934,0.319218,0.546084
pulley__GT2x16_toothed_idler,Complex,pulley,0.313392,0.286468,0.343712
pulley__GT2x16_toothed_idler_9,Complex,pulley,0.387845,0.284728,0.320905
pulley__GT2x16x7_plain_idler,Complex,pulley,0.566664,0.373363,0.690671
pulley__GT2x20_plain_idler,Complex,pulley,0.425605,0.303754,0.451623
pulley__GT2x20_pulley_9,Complex,pulley,0.661719,0.379994,0.526250
pulley__GT2x20_toothed_idler,Complex,pulley,0.392958,0.290209,0.415484
pulley__GT2x20_toothed_idler_9,Complex,pulley,0.398410,0.294292,0.362100
pulley__GT2x20ob_pulley,Complex,pulley,,0.357721,0.570096
pulley__GT2x20um_pulley,Complex,pulley,0.338468,0.312756,0.488170
pulley__GT2x80_pulley,Complex,pulley,0.469613,0.324014,0.411593
pulley__T2p5x16_pulley,Complex,pulley,0.390113,0.394804,0.657048
pulley__T5x10_pulley,Complex,pulley,0.546666,0.321267,0.604789
radial__ACT1100,Medium,radial,0.266160,0.328339,0.325076
radial__ACT1700,Medium,radial,0.482789,0.694490,0.423771
radial__ATX_CM_CHOKE,Medium,radial,0.553460,0.167204,0.414907
radial__C_002RX,Medium,radial,0.347348,0.831364,0.557340
radial__HC49,Medium,radial,0.560724,0.475174,0.595935
radial__HC49_4H,Medium,radial,0.451587,0.328365,0.431732
rail__HGH15CA,Simple,rail,0.141700,0.515562,0.602585
rail__HGH20CA,Simple,rail,0.215972,0.428830,0.204503
rail__MGN12,Simple,rail,0.576851,0.484631,0.133994
rail__MGN15,Simple,rail,0.203660,0.505083,0.534842
rail__MGN5,Simple,rail,0.097701,0.605500,0.078688
rail__MGN7,Simple,rail,0.532759,0.595708,0.063559
rail__MGN9,Simple,rail,0.126920,0.518161,0.486700
rail__SSR15,Simple,rail,0.115746,0.458100,0.162534
ring_terminal__M3_ringterm,Complex,ring_terminal,0.440670,0.390976,0.182442
ring_terminal__M3_ringterm_crimp,Complex,ring_terminal,0.326232,0.384157,0.317898
ring_terminal__M3_ringterm_cs,Complex,ring_terminal,0.469900,0.445029,0.242202
rod_end__RE_m5_bearing,Complex,rod_end,0.580501,0.409669,0.543002
screw__M2_cap_screw,Complex,screw,0.970032,0.959971,0.509022
screw__M2_cs_cap_screw,Complex,screw,0.193100,,0.497177
screw__M2_dome_screw,Complex,screw,0.610164,0.943532,0.666341
screw__M2p5_cap_screw,Complex,screw,0.963863,0.249433,0.474060
screw__M2p5_dome_screw,Complex,screw,0.650646,0.364861,0.620922
screw__M2p5_pan_screw,Complex,screw,0.490279,0.319127,0.565986
screw__M3_cap_screw,Complex,screw,0.264070,0.962160,0.483602
screw__M3_cs_cap_screw,Complex,screw,0.495807,0.257375,0.444623
screw__M3_dome_screw,Complex,screw,0.633904,0.361962,0.948565
screw__M3_grub_screw,Complex,screw,0.480887,0.201058,0.424913
screw__M3_hex_screw,Complex,screw,0.959214,0.793419,0.918324
screw__M3_low_cap_screw,Complex,screw,0.955003,0.303841,0.514544
screw__M3_pan_screw,Complex,screw,0.912200,0.284818,0.657679
screw__M3_shoulder_screw,Complex,screw,0.388156,0.339617,0.644647
screw__M4_cap_screw,Complex,screw,0.284503,0.314294,0.720646
screw__M4_cs_cap_screw,Complex,screw,0.470540,0.761811,0.375781
screw__M4_dome_screw,Complex,screw,0.937297,0.792433,0.646953
screw__M4_grub_screw,Complex,screw,0.478450,0.482577,0.567849
screw__M4_hex_screw,Complex,screw,0.854015,0.276180,0.640133
screw__M4_pan_screw,Complex,screw,0.671229,0.356196,0.691034
screw__M4_shoulder_screw,Complex,screw,0.500593,0.416535,0.633333
screw__M5_cap_screw,Complex,screw,0.467809,0.915640,0.503580
screw__M5_cs_cap_screw,Complex,screw,0.648998,0.320695,0.384319
screw__M5_dome_screw,Complex,screw,0.706983,0.510346,0.769487
screw__M5_grub_screw,Complex,screw,0.448803,0.525629,0.170270
screw__M5_hex_screw,Complex,screw,0.289283,0.286346,0.551695
screw__M5_pan_screw,Complex,screw,0.685413,0.868575,0.611404
screw__M6_cap_screw,Complex,screw,0.961567,0.376813,0.457653
screw__M6_cs_cap_screw,Complex,screw,0.497622,0.612728,0.411759
screw__M6_dome_screw,Complex,screw,0.423757,0.416231,0.873818
screw__M6_grub_screw,Complex,screw,0.459591,0.499235,0.486700
screw__M6_hex_screw,Complex,screw,0.540146,0.318064,0.586278
screw__M6_pan_screw,Complex,screw,0.675750,0.435532,0.795348
screw__M8_cap_screw,Complex,screw,0.925798,0.404280,0.574789
screw__M8_cs_cap_screw,Complex,screw,0.532781,0.413900,0.529624
screw__M8_dome_screw,Complex,screw,0.543592,0.501716,0.906319
screw__M8_hex_screw,Complex,screw,0.894442,0.337948,0.605581
screw__No2_screw,Complex,screw,0.563995,0.319282,0.664574
screw__No4_screw,Complex,screw,0.637623,0.297658,0.546902
screw__No632_pan_screw,Complex,screw,0.642334,0.329923,0.583369
screw__No6_cs_screw,Complex,screw,0.453942,0.515788,0.509744
screw__No6_screw,Complex,screw,0.863326,0.323048,0.588307
screw__No8_screw,Complex,screw,0.760940,0.367580,0.673600
servo_motor__Lichuan_M01330_80ST,Medium,servo_motor,0.488594,0.605076,0.517206
servo_motor__Lichuan_M02430_80ST,Medium,servo_motor,0.645700,0.596673,0.410407
servo_motor__Lichuan_M03530_80ST,Medium,servo_motor,0.669669,0.533487,0.468778
servo_motor__Lichuan_M04030_80ST,Medium,servo_motor,0.464239,0.554628,0.531687
shaft_coupling__SC_5x8_rigid,Medium,shaft_coupling,0.871401,0.859270,0.764024
shaft_coupling__SC_6x8_flex,Medium,shaft_coupling,0.702330,0.540190,0.648775
sheet__AL1_6,Simple,sheet,0.053492,0.133800,0.069600
sheet__AL2,Simple,sheet,0.066400,0.069100,0.077292
sheet__AL3,Simple,sheet,0.098617,0.258500,0.261608
sheet__AL6,Simple,sheet,0.104609,0.082500,0.067659
sheet__AL8,Simple,sheet,0.074607,0.065000,0.069023
sheet__CF1,Simple,sheet,,0.013000,0.013100
