prompt_id,tier,family,prompt_text,clip_craft,clip_gpt4o,clip_gpt52,clip_gt
extrusion__Makerbeam,Simple,extrusion,An aluminium extrusion profile; 10.0mm x 10.0mm cross section; 100mm long,0.186013,0.191611,0.186813,0.264385
extrusion__MakerbeamXL,Simple,extrusion,An aluminium extrusion profile; 15.0mm x 15.0mm cross section; 100mm long,0.268823,0.203410,0.182234,0.255868
extrusion_bracket__E20_corner_bracket,Medium,extrusion_bracket,A extrusion bracket: [28; 28; 20],0.214316,0.203343,0.196929,0.239934
extrusion_bracket__E20_inner_corner_bracket,Medium,extrusion_bracket,A extrusion bracket: [26; 25; 4.7],0.245768,0.200205,0.201542,0.224818
extrusion_bracket__E40_corner_bracket,Medium,extrusion_bracket,A extrusion bracket: [40; 40; 35],0.214697,0.195627,0.187634,0.233503
extrusion_bracket__E40_inner_corner_bracket,Medium,extrusion_bracket,A extrusion bracket: [38; 31; 8.5],0.213350,0.203106,0.196898,0.225558
gear_motor__FIT0492_A,Medium,gear_motor,A gear motor: [6; 5.5; 14.7; 12],0.210466,0.189504,0.191478,0.254955
hot_end__E3D_clone,Simple,hot_end,A 3D printer hot end; 66.0mm total length; 6.8mm barrel diameter; 1.75mm filament,0.222382,0.185089,0.196132,0.208443
hot_end__E3Dv5,Simple,hot_end,A 3D printer hot end; 70.0mm total length; 3.7mm barrel diameter; 1.75mm filament,0.211853,0.170733,0.185035,0.203012
hot_end__E3Dv6,Simple,hot_end,A 3D printer hot end; 62.0mm total length; 3.7mm barrel diameter; 1.75mm filament,0.206416,0.183582,0.164232,0.206723
hot_end__JHeadMk5,Simple,hot_end,A 3D printer hot end; 51.2mm total length; 4.75mm barrel diameter; 1.75mm filament,0.197107,0.181614,0.197918,0.211338
ht_pipe__HT_110_cap,Simple,ht_pipe,A ht pipe: HT 110 cap,0.236253,0.169165,0.220867,0.222893
ht_pipe__HT_110_pipe_1000,Simple,ht_pipe,A ht pipe: HT 110 pipe 1000 mm,0.221894,0.205652,0.228667,0.233960
ht_pipe__HT_110_pipe_150,Simple,ht_pipe,A ht pipe: HT 110 pipe 150 mm,0.215352,0.190857,0.213075,0.220323
ht_pipe__HT_110_pipe_1500,Simple,ht_pipe,A ht pipe: HT 110 pipe 1500 mm,0.237317,0.204723,0.228044,0.238276
ht_pipe__HT_110_pipe_2000,Simple,ht_pipe,A ht pipe: HT 110 pipe 2000 mm,0.226346,0.201041,0.212406,0.227315
ht_pipe__HT_110_pipe_250,Simple,ht_pipe,A ht pipe: HT 110 pipe 250 mm,0.233813,0.215712,0.224806,0.230734
ht_pipe__HT_110_pipe_500,Simple,ht_pipe,A ht pipe: HT 110 pipe 500 mm,0.232863,0.209158,0.231362,0.243708
ht_pipe__HT_125_cap,Simple,ht_pipe,A ht pipe: HT 125 cap,0.204099,0.180708,0.214954,0.209747
ht_pipe__HT_125_pipe_1000,Simple,ht_pipe,A ht pipe: HT 125 pipe 1000 mm,0.241625,0.227502,0.224707,0.234042
ht_pipe__HT_125_pipe_150,Simple,ht_pipe,A ht pipe: HT 125 pipe 150 mm,0.193196,0.207485,0.205544,0.196384
ht_pipe__HT_125_pipe_1500,Simple,ht_pipe,A ht pipe: HT 125 pipe 1500 mm,0.211943,0.195186,0.221928,0.228192
ht_pipe__HT_125_pipe_2000,Simple,ht_pipe,A ht pipe: HT 125 pipe 2000 mm,0.226154,0.199322,0.210624,0.224614
ht_pipe__HT_125_pipe_250,Simple,ht_pipe,A ht pipe: HT 125 pipe 250 mm,0.199215,0.209144,0.218759,0.225079
ht_pipe__HT_125_pipe_500,Simple,ht_pipe,A ht pipe: HT 125 pipe 500 mm,0.241531,0.211319,0.230094,0.244306
ht_pipe__HT_160_cap,Simple,ht_pipe,A ht pipe: HT 160 cap,0.208137,0.163758,0.201478,0.216918
ht_pipe__HT_160_pipe_1000,Simple,ht_pipe,A ht pipe: HT 160 pipe 1000 mm,0.246857,0.207816,0.227404,0.234155
ht_pipe__HT_160_pipe_150,Simple,ht_pipe,A ht pipe: HT 160 pipe 150 mm,0.209937,0.170108,0.212441,0.183240
ht_pipe__HT_160_pipe_1500,Simple,ht_pipe,A ht pipe: HT 160 pipe 1500 mm,0.236806,0.202252,0.226041,0.233768
ht_pipe__HT_160_pipe_2000,Simple,ht_pipe,A ht pipe: HT 160 pipe 2000 mm,0.227909,0.201796,0.223830,0.227755
ht_pipe__HT_160_pipe_250,Simple,ht_pipe,A ht pipe: HT 160 pipe 250 mm,0.186252,0.211549,0.211912,0.202686
ht_pipe__HT_160_pipe_500,Simple,ht_pipe,A ht pipe: HT 160 pipe 500 mm,0.234393,0.221702,0.230930,0.221966
ht_pipe__HT_32_cap,Simple,ht_pipe,A ht pipe: HT 32 cap,0.223168,0.187591,0.201236,0.241957
ht_pipe__HT_32_pipe_1000,Simple,ht_pipe,A ht pipe: HT 32 pipe 1000 mm,0.219348,0.194525,0.199436,0.211970
ht_pipe__HT_32_pipe_150,Simple,ht_pipe,A ht pipe: HT 32 pipe 150 mm,0.236583,0.207613,0.233359,0.236687
ht_pipe__HT_32_pipe_1500,Simple,ht_pipe,A ht pipe: HT 32 pipe 1500 mm,0.200740,0.185556,0.184031,0.191893
ht_pipe__HT_32_pipe_2000,Simple,ht_pipe,A ht pipe: HT 32 pipe 2000 mm,0.196533,0.179583,0.179674,0.188667
ht_pipe__HT_32_pipe_250,Simple,ht_pipe,A ht pipe: HT 32 pipe 250 mm,0.236060,0.223746,0.223129,0.239724
ht_pipe__HT_32_pipe_500,Simple,ht_pipe,A ht pipe: HT 32 pipe 500 mm,0.235899,0.206121,0.229274,0.236181
ht_pipe__HT_40_cap,Simple,ht_pipe,A ht pipe: HT 40 cap,0.229192,0.212835,0.245340,0.240792
ht_pipe__HT_40_pipe_1000,Simple,ht_pipe,A ht pipe: HT 40 pipe 1000 mm,0.230697,0.202831,0.217226,0.227314
ht_pipe__HT_40_pipe_150,Simple,ht_pipe,A ht pipe: HT 40 pipe 150 mm,0.247544,0.216627,0.241325,0.244819
ht_pipe__HT_40_pipe_1500,Simple,ht_pipe,A ht pipe: HT 40 pipe 1500 mm,0.203025,0.190853,0.187584,0.204388
ht_pipe__HT_40_pipe_2000,Simple,ht_pipe,A ht pipe: HT 40 pipe 2000 mm,0.200068,0.188398,0.188778,0.199101
ht_pipe__HT_40_pipe_250,Simple,ht_pipe,A ht pipe: HT 40 pipe 250 mm,0.242856,0.207954,0.227043,0.236238
ht_pipe__HT_40_pipe_500,Simple,ht_pipe,A ht pipe: HT 40 pipe 500 mm,0.230989,0.207655,0.229023,0.246809
ht_pipe__HT_50_40_tpipe,Simple,ht_pipe,A ht pipe: HT 50/40 T pipe,0.243335,0.220740,0.247403,0.233306
ht_pipe__HT_50_cap,Simple,ht_pipe,A ht pipe: HT 50 cap,0.211635,0.198525,0.211452,0.231293
ht_pipe__HT_50_pipe_1000,Simple,ht_pipe,A ht pipe: HT 50 pipe 1000 mm,0.214280,0.209305,0.212545,0.231650
ht_pipe__HT_50_pipe_150,Simple,ht_pipe,A ht pipe: HT 50 pipe 150 mm,0.244670,0.226022,0.236736,0.247367
ht_pipe__HT_50_pipe_1500,Simple,ht_pipe,A ht pipe: HT 50 pipe 1500 mm,0.211235,0.192924,0.201370,0.214306
ht_pipe__HT_50_pipe_2000,Simple,ht_pipe,A ht pipe: HT 50 pipe 2000 mm,0.212084,0.190329,0.183320,0.194266
ht_pipe__HT_50_pipe_250,Simple,ht_pipe,A ht pipe: HT 50 pipe 250 mm,0.231482,0.206921,0.231052,0.240293
ht_pipe__HT_50_pipe_500,Simple,ht_pipe,A ht pipe: HT 50 pipe 500 mm,0.234509,0.207653,0.230555,0.249883
ht_pipe__HT_50_tpipe,Simple,ht_pipe,A ht pipe: HT 50 T pipe,0.228592,0.190109,0.213595,0.239407
ht_pipe__HT_75_cap,Simple,ht_pipe,A ht pipe: HT 75 cap,0.211562,0.187051,0.205511,0.226025
ht_pipe__HT_75_pipe_1000,Simple,ht_pipe,A ht pipe: HT 75 pipe 1000 mm,0.225569,0.203973,0.229371,0.235219
ht_pipe__HT_75_pipe_150,Simple,ht_pipe,A ht pipe: HT 75 pipe 150 mm,0.225470,0.212024,0.224094,0.229179
ht_pipe__HT_75_pipe_1500,Simple,ht_pipe,A ht pipe: HT 75 pipe 1500 mm,0.211997,0.202955,0.205209,0.227921
ht_pipe__HT_75_pipe_2000,Simple,ht_pipe,A ht pipe: HT 75 pipe 2000 mm,0.221059,0.190836,0.199679,0.217144
ht_pipe__HT_75_pipe_250,Simple,ht_pipe,A ht pipe: HT 75 pipe 250 mm,0.226058,0.217644,0.229390,0.237910
ht_pipe__HT_75_pipe_500,Simple,ht_pipe,A ht pipe: HT 75 pipe 500 mm,0.244359,0.205370,0.225367,0.240288
ht_pipe__HT_90_cap,Simple,ht_pipe,A ht pipe: HT 90 cap,0.218023,0.199060,0.212601,0.218042
ht_pipe__HT_90_pipe_1000,Simple,ht_pipe,A ht pipe: HT 90 pipe 1000 mm,0.238632,0.233389,0.231993,0.237246
ht_pipe__HT_90_pipe_150,Simple,ht_pipe,A ht pipe: HT 90 pipe 150 mm,0.234412,0.226609,0.221450,0.237908
ht_pipe__HT_90_pipe_1500,Simple,ht_pipe,A ht pipe: HT 90 pipe 1500 mm,0.233443,0.197730,0.228591,0.235202
ht_pipe__HT_90_pipe_2000,Simple,ht_pipe,A ht pipe: HT 90 pipe 2000 mm,0.218691,0.212926,0.214131,0.222559
ht_pipe__HT_90_pipe_250,Simple,ht_pipe,A ht pipe: HT 90 pipe 250 mm,0.218166,0.216199,0.196862,0.228262
ht_pipe__HT_90_pipe_500,Simple,ht_pipe,A ht pipe: HT 90 pipe 500 mm,0.248837,0.231384,0.235827,0.243847
iec__IEC_320_C14_switched_fused_inlet,Complex,iec,An IEC power inlet module (switched fused inlet module); 40.0mm x 27.0mm,0.219551,0.163729,0.173530,0.217473
iec__IEC_fused_inlet,Complex,iec,An IEC power inlet module (IEC fused inlet JR-101-1F); 36.0mm x 27.0mm,0.180749,0.177203,0.149823,0.207784
iec__IEC_fused_inlet2,Complex,iec,An IEC power inlet module (IEC fused inlet old); 36.0mm x 27.0mm,0.203721,0.150128,0.186021,0.226515
iec__IEC_inlet_atx,Complex,iec,An IEC power inlet module (IEC inlet for ATX); 40.0mm x 27.0mm,0.233026,0.157286,0.196619,0.234632
iec__IEC_inlet_atx2,Complex,iec,A iec: lugless,0.185421,0.166050,0.160367,0.184678
iec__IEC_outlet,Complex,iec,An IEC power inlet module (IEC outlet RS 811-7193); 40.0mm x 32.0mm,0.217163,0.144065,0.152109,0.226912
iec__IEC_yunpen,Complex,iec,An IEC power inlet module (IEC inlet filtered); 40.0mm x 29.0mm,0.178846,0.146089,0.206765,0.210643
insert__CNCKM2p5,Simple,insert,A threaded heat-set insert; 4.0mm outer diameter; 4.6mm long; for 2.5mm screws,0.190353,0.210683,0.167276,0.208579
insert__CNCKM3,Simple,insert,A threaded heat-set insert; 3.0mm outer diameter; 4.6mm long; for 3.0mm screws,0.219356,0.205666,0.206270,0.194870
insert__CNCKM4,Simple,insert,A threaded heat-set insert; 4.0mm outer diameter; 6.3mm long; for 4.0mm screws,0.186513,0.163748,0.199806,0.180136
insert__CNCKM5,Simple,insert,A threaded heat-set insert; 5.8mm outer diameter; 7.1mm long; for 5.0mm screws,0.196351,0.200457,0.225779,0.200069
insert__F1BM2,Simple,insert,A threaded heat-set insert; 4.0mm outer diameter; 3.6mm long; for 2.0mm screws,0.244825,0.195011,0.224457,0.205464
insert__F1BM2p5,Simple,insert,A threaded heat-set insert; 5.8mm outer diameter; 4.6mm long; for 2.5mm screws,0.189490,0.139436,0.201238,0.216546
insert__F1BM3,Simple,insert,A threaded heat-set insert; 5.8mm outer diameter; 4.6mm long; for 3.0mm screws,0.235101,0.194353,0.200291,0.219284
insert__F1BM4,Simple,insert,A threaded heat-set insert; 8.2mm outer diameter; 6.3mm long; for 4.0mm screws,0.224955,0.194159,0.195521,0.221595
insert__M10x25,Simple,insert,A threaded heat-set insert; 25.0mm outer diameter; 18.5mm long; for 10.0mm screws,0.207320,0.177376,0.183385,0.223036
insert__M12x30,Simple,insert,A threaded heat-set insert; 30.0mm outer diameter; 22.0mm long; for 12.0mm screws,0.210704,0.189656,0.212082,0.222285
insert__M16x30,Simple,insert,A threaded heat-set insert; 30.0mm outer diameter; 25.0mm long; for 16.0mm screws,0.211146,0.167182,0.171535,0.212907
insert__M3x8,Simple,insert,A threaded heat-set insert; 8.0mm outer diameter; 6.0mm long; for 3.0mm screws,0.185662,0.192101,0.202053,0.236035
insert__M4x10,Simple,insert,A threaded heat-set insert; 10.0mm outer diameter; 8.0mm long; for 4.0mm screws,0.228424,0.190954,0.203933,0.233563
insert__M5x12,Simple,insert,A threaded heat-set insert; 12.0mm outer diameter; 10.0mm long; for 5.0mm screws,0.200813,0.193203,0.205326,0.221476
insert__M6x15,Simple,insert,A threaded heat-set insert; 15.0mm outer diameter; 12.0mm long; for 6.0mm screws,0.209618,0.192210,0.195723,0.224675
insert__M8x18,Simple,insert,A threaded heat-set insert; 18.0mm outer diameter; 16.0mm long; for 8.0mm screws,0.189342,0.187686,0.194296,0.225979
leadnut__LNHT8x2,Medium,leadnut,A leadscrew nut housing; 30.0mm x 34.0mm x 30.0mm block,0.237894,0.156473,0.200968,0.183758
leadnut__LSN8x2,Medium,leadnut,A leadscrew nut housing; 8.0mm x 10.2mm x 15.0mm block,0.202648,0.160563,0.226371,0.257797
leadnut__LSN8x8,Medium,leadnut,A leadscrew nut housing; 8.0mm x 12.75mm x 19.0mm block,0.216229,0.155969,0.224161,0.238215
leadnut__SFU1610,Medium,leadnut,A leadscrew nut housing; 16.0mm x 28.0mm x 42.5mm block,0.219584,0.158011,0.223089,0.254685
led__LED10mm,Medium,led,A 10.0mm through-hole LED; 11.0mm body height,0.202512,0.197189,0.230465,0.206725
led__LED3mm,Medium,led,A 3.0mm through-hole LED; 3.15mm body height,0.242370,0.206699,0.249892,0.238192
led__LED5mm,Medium,led,A 5.0mm through-hole LED; 5.9mm body height,0.240024,0.197695,0.246888,0.229985
led__LED5x2mm,Medium,led,A led,0.207305,0.200309,0.204640,0.216729
led__LED8mm,Medium,led,A 8.0mm through-hole LED; 9.2mm body height,0.236476,0.201045,0.235412,0.215582
led__LEDs,Medium,led,A led,0.241854,0.201251,0.222645,0.179166
light_strip__RIGID5050,Medium,light_strip,A light strip: rigid,0.202614,0.221440,,0.193727
linear_bearing__LM10LUU,Medium,linear_bearing,A long linear bearing with 10.0mm bore; 19.0mm outer diameter; and 55.0mm length,0.214008,0.207651,0.203392,0.234165
linear_bearing__LM10UU,Medium,linear_bearing,A linear bearing with 10.0mm bore; 19.0mm outer diameter; and 29.0mm length,0.182601,0.207088,0.203339,0.217334
linear_bearing__LM12LUU,Medium,linear_bearing,A long linear bearing with 12.0mm bore; 21.0mm outer diameter; and 57.0mm length,0.205891,0.212053,0.207447,0.232903
