prompt_id,tier,family,prompt_text,clip_craft,clip_gpt4o,clip_gpt52,clip_gt
bldc_motor__BLDC2212,Complex,bldc_motor,A brushless DC motor with 28.0mm stator diameter and 27.0mm height,0.183646,0.166193,0.215066,0.258136
bldc_motor__BLDC3548,Complex,bldc_motor,A brushless DC motor with 35.0mm stator diameter and 45.0mm height,0.224477,0.135814,0.141623,0.250641
bldc_motor__BLDC4250,Complex,bldc_motor,A brushless DC motor with 42.5mm stator diameter and 48.0mm height,0.236560,0.135397,0.216792,0.266969
blower__BL30x10,Complex,blower,A centrifugal blower fan; 30.0mm x 30.0mm x 10.1mm,0.202283,0.185906,0.241511,0.263519
blower__BL40x10,Complex,blower,A centrifugal blower fan; 40.0mm x 40.0mm x 9.5mm,0.215397,0.153700,,0.281513
blower__PE4020,Complex,blower,A centrifugal blower fan; 40.0mm x 40.0mm x 20.0mm,0.234966,0.172748,0.234686,0.294777
blower__RB5015,Complex,blower,A centrifugal blower fan; 51.3mm x 51.0mm x 15.0mm,0.234985,0.143363,,0.273696
box_section__AL12x8x1,Simple,box_section,A box section: Aluminium rectangular box section 12mm x 8mm x 1mm,0.153586,0.186802,0.184708,0.221513
box_section__AL20x20x2,Simple,box_section,A box section: Aluminium rectangular box section 20mm x 20mm x 2mm,0.192106,0.228507,0.197484,0.235453
box_section__AL38p1x25p4x1p6,Simple,box_section,A box section: Aluminium rectangular box section 38.1mm x 25.4mm x 1.6mm,0.185232,0.190214,0.198368,0.220775
box_section__AL50p8x38p1x3,Simple,box_section,A box section: Aluminium rectangular box section 50.8mm x 38.1mm x 3.0mm,0.180071,0.190643,0.192157,0.207131
component__Epcos,Simple,component,A component: Thermistor Epcos B57560G104F 100K 1%,0.176114,0.168103,0.165716,0.194518
component__EpcosBlue,Simple,component,A component: Thermistor Epcos B57861S104F40 100K 1%,0.224152,0.184811,0.189138,0.201640
component__Honewell,Simple,component,A component: Thermistor Honeywell 135-104LAC-J01 100K 1%,0.207550,0.189596,0.213001,0.187649
component__RIE1212UB5C5R6,Simple,component,A component: Resistor 5R6F 5R6 3W vitreous enamel,0.229927,0.141740,0.238848,0.242490
component__RWM04106R80J,Simple,component,A component: Resistor 6R8 3W vitreous enamel,0.221059,0.214605,0.234063,0.213175
component__TC,Medium,component,A component,0.224870,0.198073,0.216596,0.226863
component__THS10,Medium,component,A component,0.214421,0.205343,0.210951,0.218326
component__THS15,Medium,component,A component,0.214854,0.205343,0.221231,0.218043
component__THS25,Medium,component,A component,0.223945,0.209977,0.218670,0.224008
component__THS50,Medium,component,A component,0.212726,0.215391,0.227216,0.228656
d_connector__DCONN15,Complex,d_connector,A d connector,0.222534,0.170153,0.208651,0.254143
d_connector__DCONN25,Complex,d_connector,A d connector,,0.214815,0.170395,0.261850
d_connector__DCONN9,Complex,d_connector,A d connector,0.224961,0.170153,0.203064,0.248150
display__BigTreeTech_TFT35v3_0,Medium,display,A display module (v3.0); 84.5mm x 54.5mm,0.240793,0.199074,0.214529,0.202605
display__HDMI5,Medium,display,A display: HDMI display 5\""; 121; 76; 2.85; ; [0; 0; 1.9]; // pcb offst [[-54; -30.225]; [54; 34.575; 0.5]]; // aperture [[-58.7; -34]; [58.7; 36.25; 1]]; // touch screen 2; // thread length [[-2.5; -39]; [10.5; -33]]; // clearance need for the ts ribbon,0.149979,0.166453,0.186307,0.205544
display__LCD1602A,Medium,display,A display module (LCD display 1602A); 71.3mm x 24.3mm,0.169902,0.174889,0.210513,0.212699
display__LCD1602AI2C,Medium,display,A display module (LCD display 1602A); 71.3mm x 24.3mm,0.233069,0.174889,0.214233,0.211692
display__LCD2004A,Medium,display,A display module (LCD display 2004A); 97.0mm x 39.5mm,0.204862,0.169240,0.187051,0.216336
display__LCDS7282B,Medium,display,A display module (LCD display S-7282B); 73.6mm x 28.7mm,0.178721,0.155371,0.158387,0.191627
display__SSD1963_4p3,Medium,display,A display: LCD display 4.3\""; 105.5; 67.2; 3.4; ; [0; 0; 0]; [[-50; -26.5]; [50; 31.5; 0.5]]; [[-105.5 / 2; -65 / 2 + 1]; [105.5 / 2; 65 / 2 + 1; 1]]; 0; [[0; -34.5]; [12; -31.5]];,0.186751,0.191469,0.175566,0.192418
display__TFT128x160,Medium,display,A display module (LCD TFT display 128x160); 46.0mm x 34.0mm,0.273034,0.181376,0.189949,0.200987
extrusion__E1515,Simple,extrusion,An aluminium extrusion profile; 15.0mm x 15.0mm cross section; 100mm long,0.270851,0.203411,0.182234,0.288609
extrusion__E2020,Simple,extrusion,An aluminium extrusion profile; 20.0mm x 20.0mm cross section; 100mm long,0.231049,0.232030,0.218210,0.287928
extrusion__E2020t,Simple,extrusion,An aluminium extrusion profile; 20.0mm x 20.0mm cross section; 100mm long,0.233933,0.232030,0.236407,0.286222
extrusion__E2040,Simple,extrusion,An aluminium extrusion profile; 20.0mm x 40.0mm cross section; 100mm long,0.261320,0.205352,0.223047,0.297478
extrusion__E2060,Simple,extrusion,An aluminium extrusion profile; 20.0mm x 60.0mm cross section; 100mm long,0.270073,0.234153,0.217310,0.300536
extrusion__E2080,Simple,extrusion,An aluminium extrusion profile; 20.0mm x 80.0mm cross section; 100mm long,0.259298,0.243415,0.207734,0.287948
extrusion__E3030,Simple,extrusion,An aluminium extrusion profile; 30.0mm x 30.0mm cross section; 100mm long,0.251158,0.212818,0.193469,0.307108
extrusion__E3060,Simple,extrusion,An aluminium extrusion profile; 30.0mm x 60.0mm cross section; 100mm long,0.286015,0.215822,0.232749,0.303409
extrusion__E4040,Simple,extrusion,An aluminium extrusion profile; 40.0mm x 40.0mm cross section; 100mm long,0.257934,0.246079,0.243627,0.274027
extrusion__E4040t,Simple,extrusion,An aluminium extrusion profile; 40.0mm x 40.0mm cross section; 100mm long,0.272008,0.245372,0.215389,0.291135
extrusion__E4080,Simple,extrusion,An aluminium extrusion profile; 40.0mm x 80.0mm cross section; 100mm long,0.267898,0.208582,0.214046,0.296046
extrusion__Makerbeam,Simple,extrusion,An aluminium extrusion profile; 10.0mm x 10.0mm cross section; 100mm long,0.240804,0.191611,0.186813,0.264369
extrusion__MakerbeamXL,Simple,extrusion,An aluminium extrusion profile; 15.0mm x 15.0mm cross section; 100mm long,0.275491,0.203411,0.182234,0.255852
extrusion_bracket__E20_corner_bracket,Medium,extrusion_bracket,A extrusion bracket: [28; 28; 20],0.233685,0.203343,0.196930,0.239913
extrusion_bracket__E20_inner_corner_bracket,Medium,extrusion_bracket,A extrusion bracket: [26; 25; 4.7],0.204771,0.200205,0.201542,0.224863
extrusion_bracket__E40_corner_bracket,Medium,extrusion_bracket,A extrusion bracket: [40; 40; 35],0.222889,0.195627,0.187634,0.233461
extrusion_bracket__E40_inner_corner_bracket,Medium,extrusion_bracket,A extrusion bracket: [38; 31; 8.5],0.207293,0.203106,0.196898,0.225554
gear_motor__FIT0492_A,Medium,gear_motor,A gear motor: [6; 5.5; 14.7; 12],0.224198,0.189504,0.191478,0.254728
hot_end__E3D_clone,Simple,hot_end,A 3D printer hot end; 66.0mm total length; 6.8mm barrel diameter; 1.75mm filament,0.212296,0.185089,0.196132,0.216802
hot_end__E3Dv5,Simple,hot_end,A 3D printer hot end; 70.0mm total length; 3.7mm barrel diameter; 1.75mm filament,0.210637,0.170733,0.185035,0.208412
hot_end__E3Dv6,Simple,hot_end,A 3D printer hot end; 62.0mm total length; 3.7mm barrel diameter; 1.75mm filament,0.200698,0.183582,0.164232,0.211926
hot_end__JHeadMk5,Simple,hot_end,A 3D printer hot end; 51.2mm total length; 4.75mm barrel diameter; 1.75mm filament,0.193943,0.181614,0.197918,0.197821
ht_pipe__HT_110_cap,Simple,ht_pipe,A ht pipe: HT 110 cap,0.222188,0.169165,0.220867,0.222851
ht_pipe__HT_110_pipe_1000,Simple,ht_pipe,A ht pipe: HT 110 pipe 1000 mm,0.234575,0.205652,0.228667,0.233997
ht_pipe__HT_110_pipe_150,Simple,ht_pipe,A ht pipe: HT 110 pipe 150 mm,0.220583,0.190857,0.213075,0.220450
ht_pipe__HT_110_pipe_1500,Simple,ht_pipe,A ht pipe: HT 110 pipe 1500 mm,0.237263,0.204723,0.228044,0.238337
ht_pipe__HT_110_pipe_2000,Simple,ht_pipe,A ht pipe: HT 110 pipe 2000 mm,0.229460,0.201041,0.212406,0.227230
ht_pipe__HT_110_pipe_250,Simple,ht_pipe,A ht pipe: HT 110 pipe 250 mm,0.224256,0.215713,0.224806,0.230859
ht_pipe__HT_110_pipe_500,Simple,ht_pipe,A ht pipe: HT 110 pipe 500 mm,0.218109,0.209158,0.231362,0.243676
ht_pipe__HT_125_cap,Simple,ht_pipe,A ht pipe: HT 125 cap,0.225348,0.180708,0.214954,0.212503
ht_pipe__HT_125_pipe_1000,Simple,ht_pipe,A ht pipe: HT 125 pipe 1000 mm,0.220250,0.227502,0.224707,0.234151
ht_pipe__HT_125_pipe_150,Simple,ht_pipe,A ht pipe: HT 125 pipe 150 mm,0.166662,0.207485,0.205544,0.196150
ht_pipe__HT_125_pipe_1500,Simple,ht_pipe,A ht pipe: HT 125 pipe 1500 mm,0.229826,0.195186,0.221928,0.228012
ht_pipe__HT_125_pipe_2000,Simple,ht_pipe,A ht pipe: HT 125 pipe 2000 mm,0.219107,0.199322,0.210623,0.224496
ht_pipe__HT_125_pipe_250,Simple,ht_pipe,A ht pipe: HT 125 pipe 250 mm,0.228475,0.209144,0.218759,0.225480
ht_pipe__HT_125_pipe_500,Simple,ht_pipe,A ht pipe: HT 125 pipe 500 mm,0.230053,0.211319,0.230095,0.244120
ht_pipe__HT_160_cap,Simple,ht_pipe,A ht pipe: HT 160 cap,0.215992,0.163758,0.201478,0.217129
ht_pipe__HT_160_pipe_1000,Simple,ht_pipe,A ht pipe: HT 160 pipe 1000 mm,0.239298,0.207816,0.227404,0.234018
ht_pipe__HT_160_pipe_150,Simple,ht_pipe,A ht pipe: HT 160 pipe 150 mm,0.195462,0.170108,0.212441,0.183068
ht_pipe__HT_160_pipe_1500,Simple,ht_pipe,A ht pipe: HT 160 pipe 1500 mm,0.230089,0.202252,0.226041,0.233892
ht_pipe__HT_160_pipe_2000,Simple,ht_pipe,A ht pipe: HT 160 pipe 2000 mm,0.228500,0.201796,0.223830,0.227748
ht_pipe__HT_160_pipe_250,Simple,ht_pipe,A ht pipe: HT 160 pipe 250 mm,0.204085,0.211549,0.211912,0.202576
ht_pipe__HT_160_pipe_500,Simple,ht_pipe,A ht pipe: HT 160 pipe 500 mm,0.241912,0.221702,0.230930,0.221806
ht_pipe__HT_32_cap,Simple,ht_pipe,A ht pipe: HT 32 cap,0.212315,0.187591,0.201236,0.241953
ht_pipe__HT_32_pipe_1000,Simple,ht_pipe,A ht pipe: HT 32 pipe 1000 mm,0.213771,0.194525,0.199436,0.211822
ht_pipe__HT_32_pipe_150,Simple,ht_pipe,A ht pipe: HT 32 pipe 150 mm,0.231731,0.207613,0.233359,0.236716
ht_pipe__HT_32_pipe_1500,Simple,ht_pipe,A ht pipe: HT 32 pipe 1500 mm,0.200391,0.185556,0.184031,0.191879
ht_pipe__HT_32_pipe_2000,Simple,ht_pipe,A ht pipe: HT 32 pipe 2000 mm,0.192157,0.179583,0.179674,0.188650
ht_pipe__HT_32_pipe_250,Simple,ht_pipe,A ht pipe: HT 32 pipe 250 mm,0.212660,0.223746,0.223129,0.239897
ht_pipe__HT_32_pipe_500,Simple,ht_pipe,A ht pipe: HT 32 pipe 500 mm,0.224458,0.206121,0.229274,0.236169
ht_pipe__HT_40_cap,Simple,ht_pipe,A ht pipe: HT 40 cap,0.236376,0.212835,0.245341,0.240842
ht_pipe__HT_40_pipe_1000,Simple,ht_pipe,A ht pipe: HT 40 pipe 1000 mm,0.227775,0.202831,0.217226,0.227238
ht_pipe__HT_40_pipe_150,Simple,ht_pipe,A ht pipe: HT 40 pipe 150 mm,0.244535,0.216627,0.241325,0.244774
ht_pipe__HT_40_pipe_1500,Simple,ht_pipe,A ht pipe: HT 40 pipe 1500 mm,0.209366,0.190853,0.187584,0.204457
ht_pipe__HT_40_pipe_2000,Simple,ht_pipe,A ht pipe: HT 40 pipe 2000 mm,0.193693,0.188397,0.188778,0.199120
ht_pipe__HT_40_pipe_250,Simple,ht_pipe,A ht pipe: HT 40 pipe 250 mm,0.236475,0.207954,0.227043,0.235772
ht_pipe__HT_40_pipe_500,Simple,ht_pipe,A ht pipe: HT 40 pipe 500 mm,0.230306,0.207655,0.229023,0.246848
ht_pipe__HT_50_40_tpipe,Simple,ht_pipe,A ht pipe: HT 50/40 T pipe,0.223766,0.220741,0.247403,0.233320
ht_pipe__HT_50_cap,Simple,ht_pipe,A ht pipe: HT 50 cap,0.232663,0.198525,0.211452,0.231359
ht_pipe__HT_50_pipe_1000,Simple,ht_pipe,A ht pipe: HT 50 pipe 1000 mm,0.234461,0.209305,0.212545,0.231558
ht_pipe__HT_50_pipe_150,Simple,ht_pipe,A ht pipe: HT 50 pipe 150 mm,0.211974,0.226022,0.236736,0.247576
ht_pipe__HT_50_pipe_1500,Simple,ht_pipe,A ht pipe: HT 50 pipe 1500 mm,0.213405,0.192924,0.201370,0.214312
ht_pipe__HT_50_pipe_2000,Simple,ht_pipe,A ht pipe: HT 50 pipe 2000 mm,0.203630,0.190329,0.183321,0.194309
ht_pipe__HT_50_pipe_250,Simple,ht_pipe,A ht pipe: HT 50 pipe 250 mm,0.237584,0.206921,0.231053,0.240119
ht_pipe__HT_50_pipe_500,Simple,ht_pipe,A ht pipe: HT 50 pipe 500 mm,0.220430,0.207653,0.230555,0.249885
ht_pipe__HT_50_tpipe,Simple,ht_pipe,A ht pipe: HT 50 T pipe,0.223297,0.190109,0.213595,0.239444
ht_pipe__HT_75_cap,Simple,ht_pipe,A ht pipe: HT 75 cap,0.206985,0.187051,0.205511,0.225843
ht_pipe__HT_75_pipe_1000,Simple,ht_pipe,A ht pipe: HT 75 pipe 1000 mm,0.232820,0.203973,0.229371,0.235201
ht_pipe__HT_75_pipe_150,Simple,ht_pipe,A ht pipe: HT 75 pipe 150 mm,0.204713,0.212025,0.224094,0.229011
ht_pipe__HT_75_pipe_1500,Simple,ht_pipe,A ht pipe: HT 75 pipe 1500 mm,0.213570,0.202955,0.205209,0.227816
ht_pipe__HT_75_pipe_2000,Simple,ht_pipe,A ht pipe: HT 75 pipe 2000 mm,0.215894,0.190836,0.199679,0.217195
ht_pipe__HT_75_pipe_250,Simple,ht_pipe,A ht pipe: HT 75 pipe 250 mm,0.237308,0.217644,0.229390,0.237883
ht_pipe__HT_75_pipe_500,Simple,ht_pipe,A ht pipe: HT 75 pipe 500 mm,0.228354,0.205370,0.225367,0.240222
ht_pipe__HT_90_cap,Simple,ht_pipe,A ht pipe: HT 90 cap,0.219488,0.199060,0.212601,0.218048
ht_pipe__HT_90_pipe_1000,Simple,ht_pipe,A ht pipe: HT 90 pipe 1000 mm,0.237146,0.233389,0.231993,0.237224
ht_pipe__HT_90_pipe_150,Simple,ht_pipe,A ht pipe: HT 90 pipe 150 mm,0.217549,0.226610,0.221450,0.237950
ht_pipe__HT_90_pipe_1500,Simple,ht_pipe,A ht pipe: HT 90 pipe 1500 mm,0.230050,0.197729,0.228591,0.235082
ht_pipe__HT_90_pipe_2000,Simple,ht_pipe,A ht pipe: HT 90 pipe 2000 mm,0.224678,0.212926,0.214131,0.222594
ht_pipe__HT_90_pipe_250,Simple,ht_pipe,A ht pipe: HT 90 pipe 250 mm,0.236187,0.216199,0.196862,0.228392
ht_pipe__HT_90_pipe_500,Simple,ht_pipe,A ht pipe: HT 90 pipe 500 mm,0.253488,0.231384,0.235827,0.243370
iec__IEC_320_C14_switched_fused_inlet,Complex,iec,An IEC power inlet module (switched fused inlet module); 40.0mm x 27.0mm,0.242521,0.163729,0.173530,0.217436
iec__IEC_fused_inlet,Complex,iec,An IEC power inlet module (IEC fused inlet JR-101-1F); 36.0mm x 27.0mm,0.156801,0.177203,0.149823,0.207863
iec__IEC_fused_inlet2,Complex,iec,An IEC power inlet module (IEC fused inlet old); 36.0mm x 27.0mm,0.230575,0.150128,0.186021,0.226512
iec__IEC_inlet_atx,Complex,iec,An IEC power inlet module (IEC inlet for ATX); 40.0mm x 27.0mm,0.217907,0.157287,0.196619,0.234739
iec__IEC_inlet_atx2,Complex,iec,A iec: lugless,0.168042,0.166050,0.160367,0.184743
iec__IEC_outlet,Complex,iec,An IEC power inlet module (IEC outlet RS 811-7193); 40.0mm x 32.0mm,0.197423,0.144065,0.152109,0.226850
iec__IEC_yunpen,Complex,iec,An IEC power inlet module (IEC inlet filtered); 40.0mm x 29.0mm,0.214620,0.146088,0.206765,0.210748
insert__CNCKM2p5,Simple,insert,A threaded heat-set insert; 4.0mm outer diameter; 4.6mm long; for 2.5mm screws,0.172365,0.210683,0.167276,0.208752
insert__CNCKM3,Simple,insert,A threaded heat-set insert; 3.0mm outer diameter; 4.6mm long; for 3.0mm screws,0.159445,0.205666,0.206270,0.194859
insert__CNCKM4,Simple,insert,A threaded heat-set insert; 4.0mm outer diameter; 6.3mm long; for 4.0mm screws,0.201652,0.163748,0.199806,0.180466
insert__CNCKM5,Simple,insert,A threaded heat-set insert; 5.8mm outer diameter; 7.1mm long; for 5.0mm screws,0.173367,0.200457,0.225779,0.200290
insert__F1BM2,Simple,insert,A threaded heat-set insert; 4.0mm outer diameter; 3.6mm long; for 2.0mm screws,0.177054,0.195011,0.224458,0.205850
insert__F1BM2p5,Simple,insert,A threaded heat-set insert; 5.8mm outer diameter; 4.6mm long; for 2.5mm screws,0.223200,0.139436,0.201238,0.216876
insert__F1BM3,Simple,insert,A threaded heat-set insert; 5.8mm outer diameter; 4.6mm long; for 3.0mm screws,0.232704,0.194353,0.200291,0.219508
insert__F1BM4,Simple,insert,A threaded heat-set insert; 8.2mm outer diameter; 6.3mm long; for 4.0mm screws,0.220090,0.194159,0.195521,0.221529
insert__M10x25,Simple,insert,A threaded heat-set insert; 25.0mm outer diameter; 18.5mm long; for 10.0mm screws,0.203992,0.177376,0.183385,0.223622
insert__M12x30,Simple,insert,A threaded heat-set insert; 30.0mm outer diameter; 22.0mm long; for 12.0mm screws,0.175938,0.189656,0.212083,0.222645
insert__M16x30,Simple,insert,A threaded heat-set insert; 30.0mm outer diameter; 25.0mm long; for 16.0mm screws,0.234626,0.167182,0.171535,0.212930
insert__M3x8,Simple,insert,A threaded heat-set insert; 8.0mm outer diameter; 6.0mm long; for 3.0mm screws,0.176712,0.192102,0.202054,0.236013
insert__M4x10,Simple,insert,A threaded heat-set insert; 10.0mm outer diameter; 8.0mm long; for 4.0mm screws,0.233721,0.190955,0.203934,0.233738
insert__M5x12,Simple,insert,A threaded heat-set insert; 12.0mm outer diameter; 10.0mm long; for 5.0mm screws,0.212550,0.193203,0.205326,0.221579
insert__M6x15,Simple,insert,A threaded heat-set insert; 15.0mm outer diameter; 12.0mm long; for 6.0mm screws,0.225031,0.192211,0.195724,0.224830
insert__M8x18,Simple,insert,A threaded heat-set insert; 18.0mm outer diameter; 16.0mm long; for 8.0mm screws,0.168857,0.187687,0.194296,0.226284
leadnut__LNHT8x2,Medium,leadnut,A leadscrew nut housing; 30.0mm x 34.0mm x 30.0mm block,0.195777,0.156473,0.200968,0.183677
leadnut__LSN8x2,Medium,leadnut,A leadscrew nut housing; 8.0mm x 10.2mm x 15.0mm block,0.210296,0.160563,0.226372,0.257735
leadnut__LSN8x8,Medium,leadnut,A leadscrew nut housing; 8.0mm x 12.75mm x 19.0mm block,0.182416,0.155969,0.224161,0.238202
leadnut__SFU1610,Medium,leadnut,A leadscrew nut housing; 16.0mm x 28.0mm x 42.5mm block,0.212232,0.158011,0.223090,0.254881
led__LED10mm,Medium,led,A 10.0mm through-hole LED; 11.0mm body height,0.206621,0.197189,0.230465,0.206590
led__LED3mm,Medium,led,A 3.0mm through-hole LED; 3.15mm body height,0.252185,0.206699,0.249892,0.238261
led__LED5mm,Medium,led,A 5.0mm through-hole LED; 5.9mm body height,0.250827,0.197695,0.246889,0.229879
led__LED5x2mm,Medium,led,A led,0.247101,0.200309,0.204640,0.216810
led__LED8mm,Medium,led,A 8.0mm through-hole LED; 9.2mm body height,0.228378,0.201045,0.235413,0.215406
led__LEDs,Medium,led,A led,0.166949,0.201251,0.222645,0.179166
light_strip__RIGID5050,Medium,light_strip,A light strip: rigid,0.196055,0.221440,,0.193742
linear_bearing__LM10LUU,Medium,linear_bearing,A long linear bearing with 10.0mm bore; 19.0mm outer diameter; and 55.0mm length,0.221852,0.207651,0.203392,0.234136
linear_bearing__LM10UU,Medium,linear_bearing,A linear bearing with 10.0mm bore; 19.0mm outer diameter; and 29.0mm length,0.215069,0.207088,0.203339,0.217170
linear_bearing__LM12LUU,Medium,linear_bearing,A long linear bearing with 12.0mm bore; 21.0mm outer diameter; and 57.0mm length,0.228884,0.212054,0.207448,0.232940
