prompt_id,tier,craft_params,craft_symbolic,craft_edit_success,craft_render_valid,gpt4o_params,gpt4o_symbolic,gpt4o_edit_success,gpt4o_render_valid,gpt52_params,gpt52_symbolic,gpt52_edit_success,gpt52_render_valid
ball_bearing__BBMR95,Medium,11,0.0000,1.0000,1.0000,0,0.0000,,,6,0.0000,1.0000,1.0000
ball_bearing__BBSMR95,Medium,10,0.9167,1.0000,1.0000,0,0.0000,,,7,1.0000,1.0000,1.0000
batterie__A23CELL,Medium,7,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
batterie__AAACELL,Medium,10,0.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
batterie__AACELL,Medium,7,0.0000,1.0000,1.0000,0,0.0000,,,6,0.0000,1.0000,1.0000
batterie__CCELL,Medium,7,0.0000,1.0000,1.0000,0,0.0000,,,2,0.0000,1.0000,1.0000
batterie__DCELL,Medium,7,1.0000,1.0000,1.0000,0,0.0000,,,2,0.0000,1.0000,1.0000
batterie__LI16340,Medium,6,0.0000,1.0000,1.0000,0,0.0000,,,4,0.0000,1.0000,1.0000
batterie__LI32700,Medium,7,1.0000,1.0000,1.0000,0,0.0000,,,6,0.0000,1.0000,1.0000
batterie__LI4680,Medium,7,1.0000,1.0000,1.0000,0,0.0000,,,4,1.0000,1.0000,1.0000
batterie__LUMINTOP,Medium,7,0.0000,1.0000,1.0000,0,0.0000,,,2,0.0000,1.0000,1.0000
batterie__S25R18650,Medium,7,1.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
bearing_block__SCS10LUU,Complex,20,1.0000,1.0000,1.0000,0,0.0000,,,13,1.0000,1.0000,1.0000
bearing_block__SCS10UU,Complex,20,0.9000,1.0000,1.0000,0,0.0000,,,15,1.0000,1.0000,1.0000
bearing_block__SCS12LUU,Complex,19,0.8261,1.0000,1.0000,0,0.0000,,,13,1.0000,1.0000,1.0000
bearing_block__SCS12UU,Complex,19,0.7273,1.0000,1.0000,0,0.0000,,,16,1.0000,1.0000,1.0000
bearing_block__SCS16LUU,Complex,19,0.8500,1.0000,1.0000,0,0.0000,,,14,1.0000,1.0000,1.0000
bearing_block__SCS16UU,Complex,15,0.5000,1.0000,1.0000,0,0.0000,,,12,1.0000,1.0000,1.0000
bearing_block__SCS6UU,Complex,23,0.5000,1.0000,1.0000,0,0.0000,,,11,1.0000,1.0000,1.0000
bearing_block__SCS8LUU,Complex,19,0.9500,1.0000,1.0000,0,0.0000,,,13,1.0000,1.0000,1.0000
bearing_block__SCS8UU,Complex,19,0.8182,1.0000,1.0000,0,0.0000,,,11,1.0000,1.0000,1.0000
bldc_motor__BLDC0603,Complex,18,0.9130,1.0000,1.0000,0,0.0000,,,13,0.0000,1.0000,1.0000
bldc_motor__BLDC0802,Complex,22,0.9375,1.0000,1.0000,0,0.0000,,,15,1.0000,1.0000,1.0000
bldc_motor__BLDC1105,Complex,19,0.8182,1.0000,1.0000,0,0.0000,,,13,0.5000,1.0000,1.0000
bldc_motor__BLDC1306,Complex,28,0.8947,1.0000,1.0000,0,0.0000,,,13,0.0000,1.0000,1.0000
bldc_motor__BLDC1804,Complex,17,0.8667,1.0000,1.0000,0,0.0000,,,14,0.0000,1.0000,1.0000
bldc_motor__BLDC2205,Complex,19,1.0000,1.0000,1.0000,0,0.0000,,,13,0.0000,1.0000,1.0000
bldc_motor__BLDC2212,Complex,23,1.0000,1.0000,1.0000,0,0.0000,,,11,1.0000,1.0000,1.0000
bldc_motor__BLDC3548,Complex,23,0.9091,1.0000,1.0000,0,0.0000,,,8,0.7500,1.0000,1.0000
bldc_motor__BLDC4250,Complex,29,0.8824,1.0000,1.0000,0,0.0000,,,18,0.8333,1.0000,1.0000
blower__BL30x10,Complex,23,0.7292,1.0000,1.0000,0,0.0000,,,16,0.8889,1.0000,1.0000
blower__BL40x10,Complex,23,0.0000,1.0000,1.0000,0,0.0000,,,21,0.8000,1.0000,1.0000
blower__PE4020,Complex,23,0.7917,1.0000,1.0000,0,0.0000,,,16,0.8750,1.0000,1.0000
blower__RB5015,Complex,24,0.0000,1.0000,1.0000,0,0.0000,,,23,1.0000,1.0000,1.0000
box_section__AL12x8x1,Simple,5,1.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
box_section__AL20x20x2,Simple,5,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
box_section__AL38p1x25p4x1p6,Simple,10,0.6667,1.0000,1.0000,0,0.0000,,,0,1.0000,,
box_section__AL50p8x38p1x3,Simple,5,1.0000,1.0000,1.0000,0,0.0000,,,4,1.0000,1.0000,1.0000
component__Epcos,Simple,8,1.0000,1.0000,1.0000,0,0.0000,,,5,0.0000,1.0000,1.0000
component__EpcosBlue,Simple,11,1.0000,1.0000,1.0000,0,0.0000,,,5,1.0000,1.0000,1.0000
component__Honewell,Simple,9,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
component__RIE1212UB5C5R6,Simple,11,0.0000,1.0000,1.0000,0,0.0000,,,6,0.0000,1.0000,1.0000
component__RWM04106R80J,Simple,14,1.0000,1.0000,1.0000,0,0.0000,,,4,1.0000,1.0000,1.0000
component__TC,Medium,4,1.0000,1.0000,1.0000,0,0.0000,,,15,0.0000,1.0000,1.0000
component__THS10,Medium,4,1.0000,1.0000,1.0000,0,0.0000,,,11,0.0000,1.0000,1.0000
component__THS15,Medium,3,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
component__THS25,Medium,4,0.0000,1.0000,1.0000,0,0.0000,,,7,0.0000,1.0000,1.0000
component__THS50,Medium,4,0.5714,1.0000,1.0000,0,0.0000,,,12,0.0000,1.0000,1.0000
d_connector__DCONN15,Complex,24,0.8947,1.0000,1.0000,0,0.0000,,,0,0.0000,,
d_connector__DCONN25,Complex,18,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
d_connector__DCONN9,Complex,26,0.9655,1.0000,1.0000,0,0.0000,,,0,1.0000,,
display__BigTreeTech_TFT35v3_0,Medium,27,1.0000,1.0000,1.0000,0,0.0000,,,13,1.0000,1.0000,1.0000
display__HDMI5,Medium,16,0.6316,1.0000,1.0000,0,0.0000,,,0,1.0000,,
display__LCD1602A,Medium,30,1.0000,1.0000,1.0000,0,0.0000,,,16,0.8333,1.0000,1.0000
display__LCD1602AI2C,Medium,19,1.0000,1.0000,1.0000,0,0.0000,,,17,1.0000,1.0000,1.0000
display__LCD2004A,Medium,36,0.8889,1.0000,1.0000,0,0.0000,,,1,1.0000,1.0000,1.0000
display__LCDS7282B,Medium,25,1.0000,1.0000,1.0000,0,0.0000,,,0,0.5000,,
display__SSD1963_4p3,Medium,20,0.6667,1.0000,1.0000,0,0.0000,,,14,0.6000,1.0000,1.0000
display__TFT128x160,Medium,23,0.9310,1.0000,1.0000,0,0.0000,,,11,1.0000,1.0000,1.0000
extrusion__E1515,Simple,12,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__E2020,Simple,9,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__E2020t,Simple,11,0.5556,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__E2040,Simple,14,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__E2060,Simple,11,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__E2080,Simple,11,0.7143,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__E3030,Simple,11,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__E3060,Simple,14,0.5909,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__E4040,Simple,11,0.3750,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__E4040t,Simple,14,0.4545,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__E4080,Simple,13,0.9286,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__Makerbeam,Simple,11,0.8571,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion__MakerbeamXL,Simple,14,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion_bracket__E20_corner_bracket,Medium,11,0.0000,1.0000,1.0000,0,0.0000,,,3,0.0000,1.0000,1.0000
extrusion_bracket__E20_inner_corner_bracket,Medium,14,0.0000,1.0000,1.0000,0,0.0000,,,0,0.2000,,
extrusion_bracket__E40_corner_bracket,Medium,13,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
extrusion_bracket__E40_inner_corner_bracket,Medium,10,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
gear_motor__FIT0492_A,Medium,22,1.0000,1.0000,1.0000,0,0.0000,,,0,0.1667,,
hot_end__E3D_clone,Simple,28,0.6207,1.0000,1.0000,0,0.0000,,,9,0.8889,1.0000,1.0000
hot_end__E3Dv5,Simple,22,0.6190,1.0000,1.0000,0,0.0000,,,3,0.0000,1.0000,1.0000
hot_end__E3Dv6,Simple,30,0.9565,1.0000,0.7500,0,0.0000,,,13,1.0000,1.0000,1.0000
hot_end__JHeadMk5,Simple,26,0.9714,1.0000,1.0000,0,0.0000,,,6,1.0000,1.0000,1.0000
ht_pipe__HT_110_cap,Simple,12,1.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_110_pipe_1000,Simple,11,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_110_pipe_150,Simple,11,0.5833,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_110_pipe_1500,Simple,6,0.6667,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_110_pipe_2000,Simple,8,0.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_110_pipe_250,Simple,10,0.7000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_110_pipe_500,Simple,9,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_125_cap,Simple,17,0.6842,1.0000,1.0000,0,0.0000,,,10,1.0000,1.0000,0.8750
ht_pipe__HT_125_pipe_1000,Simple,7,1.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_125_pipe_150,Simple,11,0.8000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_125_pipe_1500,Simple,9,0.5000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_125_pipe_2000,Simple,9,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_125_pipe_250,Simple,10,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_125_pipe_500,Simple,10,0.8889,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_160_cap,Simple,15,0.8889,1.0000,1.0000,0,0.0000,,,2,1.0000,1.0000,1.0000
ht_pipe__HT_160_pipe_1000,Simple,11,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_160_pipe_150,Simple,13,0.7857,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_160_pipe_1500,Simple,10,0.7778,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_160_pipe_2000,Simple,12,0.5556,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_160_pipe_250,Simple,12,0.6000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_160_pipe_500,Simple,12,0.9000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_32_cap,Simple,12,1.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_32_pipe_1000,Simple,8,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_32_pipe_150,Simple,11,0.8571,1.0000,0.9375,0,0.0000,,,0,0.0000,,
ht_pipe__HT_32_pipe_1500,Simple,4,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_32_pipe_2000,Simple,10,1.0000,1.0000,0.9375,0,0.0000,,,0,0.0000,,
ht_pipe__HT_32_pipe_250,Simple,9,0.5556,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_32_pipe_500,Simple,7,0.0000,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,1.0000
ht_pipe__HT_40_cap,Simple,15,0.7500,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_40_pipe_1000,Simple,10,0.8333,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_40_pipe_150,Simple,11,0.7692,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_40_pipe_1500,Simple,10,0.8000,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,1.0000
ht_pipe__HT_40_pipe_2000,Simple,6,0.7143,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_40_pipe_250,Simple,12,0.8889,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_40_pipe_500,Simple,8,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_50_40_tpipe,Simple,16,0.8333,1.0000,1.0000,0,0.0000,,,10,0.0000,1.0000,1.0000
ht_pipe__HT_50_cap,Simple,11,0.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_50_pipe_1000,Simple,9,0.8571,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_50_pipe_150,Simple,9,0.8889,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_50_pipe_1500,Simple,10,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_50_pipe_2000,Simple,9,0.8333,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_50_pipe_250,Simple,7,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_50_pipe_500,Simple,9,0.9000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_50_tpipe,Simple,16,1.0000,1.0000,1.0000,0,0.0000,,,6,0.0000,1.0000,1.0000
ht_pipe__HT_75_cap,Simple,14,0.9333,1.0000,1.0000,0,0.0000,,,0,1.0000,,
ht_pipe__HT_75_pipe_1000,Simple,12,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_75_pipe_150,Simple,11,0.7000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_75_pipe_1500,Simple,7,0.8000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_75_pipe_2000,Simple,10,0.8571,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_75_pipe_250,Simple,11,0.7143,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_75_pipe_500,Simple,9,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_90_cap,Simple,11,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_90_pipe_1000,Simple,10,0.8333,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,1.0000
ht_pipe__HT_90_pipe_150,Simple,11,0.7143,1.0000,1.0000,0,0.0000,,,8,0.8462,1.0000,1.0000
ht_pipe__HT_90_pipe_1500,Simple,13,0.9091,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_90_pipe_2000,Simple,10,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ht_pipe__HT_90_pipe_250,Simple,13,0.8750,1.0000,1.0000,0,0.0000,,,5,1.0000,1.0000,0.7500
ht_pipe__HT_90_pipe_500,Simple,11,0.6667,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,1.0000
iec__IEC_320_C14_switched_fused_inlet,Complex,44,0.7778,1.0000,1.0000,0,0.0000,,,14,1.0000,1.0000,1.0000
iec__IEC_fused_inlet,Complex,37,0.9706,1.0000,1.0000,0,0.0000,,,0,0.5000,,
iec__IEC_fused_inlet2,Complex,36,0.9062,1.0000,1.0000,0,0.0000,,,0,1.0000,,
iec__IEC_inlet_atx,Complex,35,0.9091,1.0000,1.0000,0,0.0000,,,14,1.0000,1.0000,1.0000
iec__IEC_inlet_atx2,Complex,25,1.0000,1.0000,1.0000,0,0.0000,,,11,0.0000,1.0000,1.0000
iec__IEC_outlet,Complex,32,0.8400,1.0000,1.0000,0,0.0000,,,2,1.0000,1.0000,1.0000
iec__IEC_yunpen,Complex,32,1.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
insert__CNCKM2p5,Simple,11,0.5000,1.0000,1.0000,0,0.0000,,,8,1.0000,1.0000,0.8750
insert__CNCKM3,Simple,10,0.8000,1.0000,1.0000,0,0.0000,,,7,1.0000,1.0000,0.8750
insert__CNCKM4,Simple,13,0.8000,1.0000,1.0000,4,1.0000,1.0000,1.0000,8,1.0000,1.0000,0.8750
insert__CNCKM5,Simple,10,1.0000,1.0000,1.0000,0,0.0000,,,9,1.0000,1.0000,0.8125
insert__F1BM2,Simple,10,0.6364,1.0000,1.0000,0,0.0000,,,4,1.0000,1.0000,1.0000
insert__F1BM2p5,Simple,15,0.0000,1.0000,1.0000,5,0.0000,1.0000,1.0000,9,1.0000,1.0000,0.9375
insert__F1BM3,Simple,15,0.9231,1.0000,0.9375,0,0.0000,,,8,1.0000,1.0000,0.9375
insert__F1BM4,Simple,12,1.0000,1.0000,1.0000,0,0.0000,,,7,1.0000,1.0000,0.9375
insert__M10x25,Simple,20,0.9412,1.0000,1.0000,5,0.0000,1.0000,1.0000,8,1.0000,1.0000,1.0000
insert__M12x30,Simple,11,0.0000,1.0000,1.0000,0,0.0000,,,11,1.0000,1.0000,1.0000
insert__M16x30,Simple,16,1.0000,1.0000,1.0000,5,0.0000,1.0000,1.0000,12,1.0000,1.0000,1.0000
insert__M3x8,Simple,13,0.8571,1.0000,1.0000,0,0.0000,,,4,1.0000,1.0000,1.0000
insert__M4x10,Simple,11,0.7500,1.0000,1.0000,0,0.0000,,,10,1.0000,1.0000,1.0000
insert__M5x12,Simple,10,0.0000,1.0000,1.0000,0,0.0000,,,9,0.0000,1.0000,0.9375
insert__M6x15,Simple,12,1.0000,1.0000,1.0000,0,0.0000,,,10,0.8571,1.0000,1.0000
insert__M8x18,Simple,13,0.8182,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,1.0000
leadnut__LNHT8x2,Medium,19,1.0000,1.0000,1.0000,0,0.0000,,,10,0.0000,1.0000,1.0000
leadnut__LSN8x2,Medium,7,0.0000,1.0000,1.0000,0,0.0000,,,9,0.0000,1.0000,1.0000
leadnut__LSN8x8,Medium,16,1.0000,1.0000,1.0000,0,0.0000,,,3,0.0000,1.0000,1.0000
leadnut__SFU1610,Medium,11,0.0000,1.0000,1.0000,0,0.0000,,,9,0.0000,1.0000,1.0000
led__LED10mm,Medium,17,0.8750,1.0000,1.0000,0,0.0000,,,0,0.0000,,
led__LED3mm,Medium,8,0.7500,1.0000,1.0000,0,0.0000,,,0,0.0000,,
led__LED5mm,Medium,18,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
led__LED5x2mm,Medium,10,0.8571,1.0000,1.0000,0,0.0000,,,0,0.0000,,
led__LED8mm,Medium,9,1.0000,1.0000,1.0000,0,0.0000,,,8,1.0000,1.0000,1.0000
led__LEDs,Medium,24,0.6667,1.0000,1.0000,0,0.0000,,,0,0.0000,,
light_strip__RIGID5050,Medium,26,0.7778,1.0000,1.0000,0,0.0000,,,9,1.0000,1.0000,1.0000
linear_bearing__LM10LUU,Medium,5,1.0000,1.0000,0.9375,0,0.0000,,,3,0.0000,1.0000,0.9167
linear_bearing__LM10UU,Medium,8,1.0000,1.0000,0.9375,0,0.0000,,,3,0.0000,1.0000,0.9167
linear_bearing__LM12LUU,Medium,4,0.0000,1.0000,0.9375,0,0.0000,,,3,0.0000,1.0000,0.9167
linear_bearing__LM12UU,Medium,10,0.0000,1.0000,0.9375,0,0.0000,,,6,0.0000,1.0000,0.9375
linear_bearing__LM16LUU,Medium,5,1.0000,1.0000,0.9375,0,0.0000,,,3,0.0000,1.0000,0.9167
linear_bearing__LM16UU,Medium,4,0.0000,1.0000,0.9375,0,0.0000,,,8,0.0000,1.0000,0.9375
linear_bearing__LM16UUOP,Medium,4,1.0000,1.0000,0.9375,0,0.0000,,,7,1.0000,1.0000,0.9375
linear_bearing__LM3LUU,Medium,11,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
linear_bearing__LM3UU,Medium,4,0.0000,1.0000,1.0000,0,0.0000,,,3,0.0000,1.0000,1.0000
linear_bearing__LM4LUU,Medium,4,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
linear_bearing__LM4UU,Medium,5,0.0000,1.0000,1.0000,0,0.0000,,,3,0.0000,1.0000,1.0000
linear_bearing__LM5LUU,Medium,13,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
linear_bearing__LM5UU,Medium,5,1.0000,1.0000,1.0000,0,0.0000,,,3,0.0000,1.0000,1.0000
linear_bearing__LM6LUU,Medium,12,1.0000,1.0000,1.0000,0,0.0000,,,3,0.0000,1.0000,1.0000
linear_bearing__LM6UU,Medium,9,1.0000,1.0000,1.0000,0,0.0000,,,3,0.0000,1.0000,1.0000
linear_bearing__LM8LUU,Medium,4,0.0000,1.0000,0.9375,0,0.0000,,,0,0.0000,,
linear_bearing__LM8UU,Medium,4,0.0000,1.0000,0.9375,0,0.0000,,,3,0.0000,1.0000,0.9167
magnet__MAG484,Simple,7,0.0000,1.0000,1.0000,0,0.0000,,,3,0.0000,1.0000,1.0000
magnet__MAG5x8,Simple,5,0.0000,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,1.0000
magnet__MAG8x4x4p2,Simple,2,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
magnet__MAGRE6x2p5,Simple,5,0.8333,1.0000,1.0000,0,0.0000,,,6,0.6000,0.0000,0.0000
mains_socket__Contactum,Medium,34,1.0000,1.0000,1.0000,0,0.0000,,,23,0.0000,1.0000,1.0000
mains_socket__MKLOGIC,Medium,48,0.9048,1.0000,1.0000,0,0.0000,,,20,1.0000,1.0000,1.0000
mains_socket__PMS9143A,Medium,56,0.9259,1.0000,1.0000,0,0.0000,,,34,1.0000,1.0000,1.0000
nut__M2_nut,Medium,10,1.0000,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,1.0000
nut__M2p5_nut,Medium,5,1.0000,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,1.0000
nut__M3_hammer_nut,Medium,17,0.8333,1.0000,1.0000,0,0.0000,,,4,1.0000,1.0000,1.0000
nut__M3_nut,Medium,14,1.0000,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,1.0000
nut__M3_sliding_t_nut,Medium,13,0.8462,1.0000,1.0000,0,0.0000,,,4,1.0000,1.0000,1.0000
nut__M3nS_thin_nut,Medium,10,0.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
nut__M4_hammer_nut,Medium,13,0.5833,1.0000,1.0000,0,0.0000,,,7,0.5000,1.0000,1.0000
nut__M4_nut,Medium,5,1.0000,1.0000,1.0000,0,0.0000,,,4,1.0000,1.0000,1.0000
nut__M4_sliding_t_nut,Medium,12,1.0000,1.0000,1.0000,0,0.0000,,,5,1.0000,1.0000,0.9375
nut__M4_weld_nut,Medium,6,1.0000,1.0000,0.8750,0,0.0000,,,3,1.0000,1.0000,0.9167
nut__M4_wingnut,Medium,15,0.0000,1.0000,1.0000,0,0.0000,,,7,1.0000,1.0000,1.0000
nut__M4nS_thin_nut,Medium,6,1.0000,1.0000,0.9375,0,0.0000,,,0,1.0000,,
nut__M5_nut,Medium,5,0.8000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
nut__M5_sliding_t_nut,Medium,19,0.0000,1.0000,1.0000,0,0.0000,,,6,1.0000,1.0000,0.8750
nut__M5nS_thin_nut,Medium,12,0.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
nut__M6_half_nut,Medium,8,1.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
nut__M6_nut,Medium,9,1.0000,1.0000,1.0000,0,0.0000,,,4,1.0000,1.0000,1.0000
nut__M6_sliding_t_nut,Medium,13,0.8333,1.0000,1.0000,0,0.0000,,,8,1.0000,1.0000,1.0000
nut__M6_weld_nut,Medium,5,1.0000,1.0000,0.8750,0,0.0000,,,3,1.0000,1.0000,0.8333
nut__M6nS_thin_nut,Medium,9,0.0000,1.0000,1.0000,0,0.0000,,,0,1.0000,,
nut__M8_nut,Medium,8,0.0000,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,1.0000
nut__M8nS_thin_nut,Medium,10,1.0000,1.0000,0.9375,0,0.0000,,,0,1.0000,,
panel_meter__DSN_VC288,Complex,59,0.9355,1.0000,1.0000,0,0.0000,,,14,1.0000,1.0000,1.0000
panel_meter__DSP5005,Complex,41,1.0000,1.0000,1.0000,0,0.0000,,,20,1.0000,1.0000,0.0000
panel_meter__PZEM001,Complex,31,0.8824,1.0000,1.0000,0,0.0000,,,17,1.0000,1.0000,1.0000
